COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,Biomass and waste (billion kWh),1.9228,2.0387,2.3579,3.172,3.1179,3.1293,3.2005,3.6338,3.4266,3.3221,3.859,4,4.899,4.954,5.388,5.594,6.752,7.379,7.505,8.366,7.844,8.98,10.219,11.894,12.476,13.591,14.723,18.025,19.817,22.602,31.495,32.434,35.766,40.972,47.079,49.446,51.335,52.912,54.382,54.921,58.744,51.4352
Brazil,CO2 emissions (MMtonnes CO2),187.7311008,178.0966238,174.0653555,166.1340851,181.0035642,194.9065756,215.7908956,222.947276,223.3942762,231.9955952,243.0698044,251.544042,243.9062542,265.1285576,279.3921763,299.8191878,316.6338903,333.1501133,329.4923513,341.8133297,326.6324561,331.635045,328.2570546,322.7108284,337.9885328,342.0014652,349.2826691,362.9834626,383.6292811,355.5356772,409.6489669,431.1746552,462.028577,491.3201116,509.8223744,500.4373785,466.8026686,475.5288953,453.4432722,456.6509,408.6160562,444.5970077
Brazil,Coal (quad Btu),0.213715889,0.223313907,0.231341168,0.264599396,0.333173679,0.392656236,0.403580398,0.417481251,0.401656307,0.406743016,0.400481835,0.432194826,0.415563632,0.422110664,0.428757254,0.446992432,0.465350963,0.46563107,0.448840538,0.490918403,0.508348425,0.503774018,0.456991704,0.474455138,0.506300274,0.502032359,0.507651836,0.533705741,0.522434546,0.44828261,0.561311282,0.594257768,0.597451131,0.642566214,0.696759586,0.681610145,0.648622161,0.68733263,0.665826314,0.63078716,0.560348151,0.661188938
Brazil,Coal and coke (MMtonnes CO2),21.95047459,22.09276753,22.36360391,25.78626247,31.65726813,37.50307249,38.5048599,41.78023435,40.69710434,42.77134637,40.02267084,45.13412143,43.78928993,44.07243336,45.99394266,48.03083912,49.79323791,49.3935983,47.19021597,49.06919773,53.00828319,52.69962853,49.79243621,53.21241929,54.30547882,52.33768721,52.64830536,55.49885123,55.38836782,43.53214012,58.63264944,62.91172774,61.39384936,66.72425904,71.81747484,71.91489594,64.73237739,69.4960209,68.47503769,63.51091279,57.07704255,67.60673665
Brazil,Consumed natural gas (MMtonnes CO2),3.00385624,3.00385624,2.70175158,3.34782261,4.34629602,5.40350316,5.2860357,6.16704165,5.69717181,7.22424879,6.047133583,7.409920595,8.116964288,8.056124267,8.398233653,8.788348712,9.840652355,10.75651505,11.30213538,12.74413196,18.39519965,21.86378602,26.09234357,27.55382659,33.55565021,36.89191616,38.33904667,39.36987936,46.88306379,37.10997692,49.95573816,49.67820628,59.9667095,70.8082941,74.89990694,78.08557644,66.64889617,68.08709744,64.86363154,64.31579844,60.60250367,74.24980858
Brazil,Consumption (quad Btu),3.89638094,3.786845915,3.863219522,3.870975901,4.164619263,4.432419716,4.782466394,4.885748311,5.069776846,5.21536114,5.856265945,5.665243321,5.815131528,6.034565622,6.356347318,6.760284898,7.182770217,7.597158662,7.840210142,8.051616948,8.476070843,8.314025736,8.448299044,8.572776107,8.93444815,9.190392723,9.589614685,10.12692632,10.52454099,10.40898486,11.45518095,11.93511607,12.24470017,12.61363147,12.8442391,12.59023223,12.40465422,12.54459894,12.4761099,12.59650078,11.77224535,12.08696635
Brazil,Fossil fuels (billion kWh),7.943,8.7185,7.96556,7.21732,7.3978,8.11408,15.22424,12.15702,10.94066,10.81564,9.51656,10.46502,11.16814,11.16344,11.17754,12.84322,15.48274,17.69926,18.62046,27.47338,28.42842,34.68788,32.94606,30.98052,39.45556,38.75808,38.66408,36.59138,54.95334,35.52354,60.04532,49.1338,75.83356,110.29772,134.65688,126.938481,90.863524,99.586348,84.4474396,88.6869093,78.9670078,145.3857444
Brazil,GDP,1305.755,1248.457,1255.714,1212.974,1278.1,1379.556,1495.55,1545.337,1541.464,1591.308,1533,1549.001,1540.399,1616.033,1710.386,1782.766,1816.603,1884.293,1891.007,1899.856,1981.797,2011.138,2071.95,2096.164,2209.939,2290.472,2380.886,2522.072,2642.732,2647.217,2847.106,2964.201,3012.027,3108.187,3124.223,3013.558,2908.85,2956.182,3005.243,3041.833,2933.214,3088.644
Brazil,Generation (billion kWh),138.3018,140.1522,150.02646,160.45232,178.0967,190.67138,199.24174,200.44982,211.77926,218.29374,219.95256,231.43902,238.84014,249.251122,256.895752,272.19787,287.65529,304.27491,317.81987,329.68948,342.57352,323.16798,340.29716,358.89562,381.18166,395.72128,411.92528,437.18658,454.67754,458.66574,510.78132,527.4028,547.16356,563.49072,581.86588,571.559384,571.40806,581.146911,594.1522795,618.6598027,614.36996,662.5953567
Brazil,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
