COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,2.897,1.417,2.606,2.364,2.404,2.421,2.438,2.43,2.422,2.414,2.406,2.396,2.387,14.715,20.7,33.863,38.269,40.967,49.303,57.356,63.729,76.113,92.816,103.207,121.143,124.262,136.4338
China,CO2 emissions (MMtonnes CO2),1596.696386,1587.190303,1671.101704,1785.801619,1948.070593,2066.962675,2139.77531,2259.808112,2405.653732,2413.191859,2417.241264,2460.412876,2541.080385,2730.930852,2916.391474,3140.322857,3240.418927,3143.568283,3132.091526,3248.27287,3482.708684,3615.319299,3857.315271,4469.340962,5397.860863,6120.077564,6750.666895,7057.568452,7505.110563,8204.13674,9003.659584,9892.523227,10478.96047,10732.00237,10654.27525,10427.08648,10261.59659,10414.76621,10606.42816,10770.87111,10841.54659,11420.23421
China,Coal (quad Btu),13.80965413,13.83613027,14.84701884,15.92450301,17.59864566,18.59261456,19.13602492,20.20516134,21.59574443,21.46315616,21.62077165,21.75358031,22.49445062,23.99271374,25.78593998,27.96606569,28.8629585,27.29108493,27.22173052,28.00240973,29.86845966,31.01952802,33.13570094,39.31666408,47.60136554,54.55823684,60.64262963,65.11894596,67.37979921,72.93112723,81.11927046,89.3774795,94.49985304,96.11871426,94.45741832,91.4262955,89.12074924,89.37461199,90.37143087,91.3648283,91.90803555,96.1977516
China,Coal and coke (MMtonnes CO2),1309.985254,1312.709603,1407.834711,1510.481214,1669.322712,1765.054497,1816.21829,1916.64041,2046.936415,2035.352407,2052.050936,2065.188662,2134.521878,2271.895936,2437.586447,2628.471088,2718.590768,2561.576601,2551.411399,2628.038406,2789.677548,2903.303608,3105.473079,3688.944433,4472.994297,5139.344678,5712.141005,6136.00899,6358.993115,6923.858506,7691.690677,8478.708671,8970.68163,9113.558191,8939.78147,8646.270696,8426.841288,8456.530942,8546.28745,8652.419202,8718.542887,9114.390393
China,Consumed natural gas (MMtonnes CO2),30.83945278,27.4807005,23.26699309,26.32040426,26.74788182,27.90817806,29.55702009,30.16770233,30.71731634,30.83945278,30.1903281,31.22421312,31.55850669,33.03491648,34.80502779,35.85176954,39.82815922,42.99168162,44.68012734,48.23446342,50.0311357,54.01569116,58.842192,63.3965291,74.86656639,91.73288617,110.5258903,138.0594622,151.1174476,173.2782332,208.9395151,256.3488721,281.3194056,319.3655467,354.6900504,373.5915384,405.4806677,467.1680695,546.5263666,597.8998449,635.1023698,710.4424991
China,Consumption (quad Btu),19.10728811,18.96434707,19.93880095,21.28552081,23.05519742,24.35928861,25.02328892,26.37857921,28.16901541,28.32688872,28.37437767,28.72323241,30.0757759,32.38011697,34.80719239,37.49591538,39.33293943,37.40171128,38.42442343,39.9198827,42.46683683,44.56127086,47.7114885,55.2471767,66.61598668,74.68653742,82.51175376,88.90075156,92.97954617,100.5741646,112.0011758,122.3401303,130.9312451,135.5133116,137.5429448,137.0137091,137.8500651,142.1216816,147.2085185,151.8119852,156.0277625,165.1584142
China,Fossil fuels (billion kWh),227.856,229.172,238.102,249.1,272.788,299.202,333.794,373.274,409.84,438.322,465.206,519.256,585.338,644.044,701.171,756.057,805.304,863.428,885.232,944.456,1041.464,1132.211,1271.068,1484.232,1701.757,1925,2227,2560,2623,2804,3132.66562,3589.97656,3648.24058,3956.67902,3984.91756,4021.548832,4171.52419,4491.498878,4684.047627,4802.383276,4926.036507,5391.953773
China,GDP,684.6352,719.5517,784.3112,869.0171,1001.107,1135.256,1236.294,1380.94,1535.605,1600.101,1662.505,1817.118,2076.522,2364.868,2673.029,2966.323,3260.778,3562.352,3842.258,4137.476,4487.936,4861.426,5304.499,5836.405,6426.578,7158.584,8068.241,9217.407,10101.74,11055.18,12228.82,13396.88,14448.46,15571.3,16722.22,17895.86,19121.78,20444.71,21822.08,23128.28,23639.95,25638.03
China,Generation (billion kWh),285.474,294.017,311.758,334.636,358.72,390.678,427.349,472.472,517.849,555.538,590.346,643.116,716.04,795.733,880.411,956.307,1005.499,1070.225,1103.697,1172.261,1280.613,1426.677,1584.671,1810.261,2103.526,2373.002,2716.712,3108.028,3297.443,3527.305,3986.89162,4465.47856,4740.27258,5171.54802,5400.11356,5584.765637,5904.640151,6389.805784,6800.815757,7152.505896,7455.467185,8151.518231
China,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.126,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.117504,0.11844,0.117708,0.125,0.125,0.126,0.126
China,Hydroelectric pumped storage (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.231,-3.346,-2.951,-3.357,-4.659,-5.328,-10.546,-11.241,-11.084,-10.747,-11.377,-11.24
China,Hydroelectricity (billion kWh),57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.136,123.849,130.185,149.193,165.352,184.902,185.051,192.624,202.257,210.801,220.19,274.658,285.094,280.844,350.009,393.047,431.428,480.411,579.335,609.484,704.269,681.165,854.166,900.515,1040.626,1103.325301,1141.715521,1153.461198,1186.89813,1259.81262,1321.511262,1274.63
China,Natural gas (quad Btu),0.581255,0.51795,0.438531,0.496081,0.504138,0.526007,0.557084,0.568594,0.578953,0.581255,0.569020446,0.588506876,0.594807565,0.622634601,0.655997257,0.675726008,0.750672097,0.810297448,0.84212089,0.909112209,0.94297548,1.018075476,1.109044267,1.194883378,1.411068035,1.728960599,2.08316687,2.602113379,2.848227322,3.265908775,3.938044514,4.831605304,5.302244247,6.019329272,6.685117493,7.041368443,7.642407508,8.805077643,10.3008048,11.26908045,11.97026518,13.39025883
China,Non-hydroelectric renewables (billion kWh),0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.017,0.026,0.388,2.968,1.524,2.823,2.748,2.915,3.056,3.211,3.343,3.524,3.814,4.623,6.474,8.318,29.783,48.108,79.308,111.333,143.427,206.101,246.689,294.429504,388.65644,508.016708,646.594,752.707,853.0464174,1088.654458
China,Nuclear (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.47,13.5,12.38,13.62,11.35,13.46,14.089,15.903,16.597,25.166,41.661,47.946,50.332,51.81,59.299,65.325,65.713,73.88,86.35,97.39,111.61,132.54,170.79,213.29,248.07,294.36,348.35,366.25,407.52
China,Nuclear (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0.0051695,0.02521129,0.1371465,0.125104654,0.13763533,0.114696108,0.136018469,0.142374755,0.160705922,0.167719058,0.254312094,0.420789557,0.484081371,0.50817135,0.522930661,0.598366107,0.65917243,0.663087606,0.745205248,0.872114794,0.983416366,1.131052057,1.34514846,1.74017931,2.1776909,2.5352754,3.01365768,3.5684974,3.755883393,4.18212438
China,"Nuclear, renewables, and other (quad Btu)",0.59235996,0.673220084,0.758539036,0.89197379,0.889890322,0.949460282,0.969000492,1.021495867,1.092632968,1.183627945,1.273583206,1.273446191,1.331859809,1.507771086,1.73158528,1.808169886,1.836043246,1.801495333,1.896671697,2.030177265,2.002910998,2.640363132,2.798037349,2.88236704,3.607054958,4.123133175,4.457183126,4.985793092,6.292055168,7.032067373,8.257256443,8.44370409,10.41462012,11.52737719,13.32030727,14.46066951,15.99041091,17.582274,19.39344625,21.27229075,22.75975116,24.71756296
China,Petroleum and other liquids (MMtonnes CO2),255.87168,247,240,249,252,274,294,313,328,347,335,364,375,426,444,476,482,539,536,572,643,658,693,717,850,889,928,783.5,995,1107,1103.029391,1157.465684,1226.959433,1299.078629,1359.803728,1407.22425,1429.274632,1491.067197,1513.614345,1520.552061,1487.901336,1595.40132
China,Petroleum and other liquids (quad Btu),4.124019021,3.937046718,3.894712076,3.972963012,4.062523436,4.291206769,4.361179505,4.583327995,4.901685012,5.098849615,4.911002365,5.10769904,5.65465791,6.256997535,6.63366987,7.045953795,7.883265582,7.498833568,8.46390032,8.978183495,9.652490692,9.883304226,10.66870594,11.8532622,13.99649815,14.27620681,15.32877414,16.19389913,16.45946447,17.34506122,18.68660435,19.68734139,20.7145277,21.84789086,23.08010168,24.08537563,25.09649749,26.35971795,27.14283658,27.90578568,29.38971057,30.85284085
China,Population,984203100,998881700,1013932000,1029457000,1045569000,1062497000,1080841000,1100382000,1120062000,1138785000,1155603000,1170482000,1184053000,1196581000,1208327000,1219470000,1229800000,1239223000,1248050000,1256613000,1265165000,1273566000,1281666000,1289641000,1297683000,1305949000,1314425000,1323008000,1331687000,1340450000,1349340000,1358583000,1368126000,1377579000,1386528000,1394682000,1402323000,1409610000,1416138000,1421481000,1425213000,1427055000
China,Renewables (billion kWh),57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.14,123.86,130.202,149.219,165.74,187.87,186.575,195.447,205.005,213.716,223.246,277.869,288.437,284.368,353.823,397.67,437.902,488.729,609.118,657.592,783.577,792.498,997.593,1106.616,1287.315,1397.754805,1530.371961,1661.477906,1833.49213,2012.51962,2174.557679,2363.284458
