COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,Biomass and waste (billion kWh),5.165,4.74,4.725,4.046,4.316,4.319,4.191,3.798,4.303,4.595,4.78,5.723,6.213,6.196,7.224,7.696,7.981,8.269,9.736,8.251,10.121,12.441,12.518,14.704,16.033,16.589,21.335,29.074,32.821,36.201,40.275,43.291,49.757,52.092,55.721,57.382,58.26,58.207,57.967,56.972,57.145,49.883
Germany,CO2 emissions (MMtonnes CO2),1257.051775,1216.476643,1213.474628,1201.916568,1247.531325,1268.910876,1295.056463,1274.299851,1255.32393,1222.425467,1181.733526,993.2308898,953.1652733,937.3156195,911.0729215,922.0133085,936.7873503,907.2938124,900.4346637,866.7709139,872.19349,888.0166657,872.5772378,873.8696755,865.9761284,844.3144931,858.9907918,832.2576096,836.6717449,781.7268835,821.722864,793.4895751,806.8993466,821.8497044,783.5586909,787.7481654,788.8893957,805.059275,781.6722095,720.8565704,630.6652221,664.4454537
Germany,Coal (quad Btu),7.960972242,8.112850001,8.100549104,8.11072761,8.38319205,8.422422157,8.375892293,8.161304577,8.059490262,7.956059168,7.357843067,5.014655466,4.57329778,4.272245386,4.024168115,3.878127778,3.9160536,3.771763509,3.595349838,3.373734643,3.413247167,3.386490556,3.390601665,3.483524138,3.472806168,3.305726373,3.358872685,3.498508184,3.256253884,3.008310485,3.147714929,3.151107657,3.28846506,3.341396621,3.217251817,3.217303091,3.126310164,3.144978105,2.992461675,2.243220115,1.783126822,2.14028899
Germany,Coal and coke (MMtonnes CO2),754.0141624,768.6451065,774.2902874,773.7213607,791.3083675,800.0749755,801.6095738,783.7355782,771.0464448,757.2438671,704.1707811,478.2406659,438.5793069,412.4589349,389.1229908,377.4490127,383.2786159,369.3232551,356.814186,334.5662595,345.0561603,345.8164035,343.7372304,349.5293002,346.169625,328.3719878,335.7356226,349.3547191,325.2241485,296.0813499,314.7737726,313.3145948,325.0326241,330.3916384,318.6328332,316.7342922,305.0698255,305.1361238,290.7983956,218.6357647,173.7351308,210.5528428
Germany,Consumed natural gas (MMtonnes CO2),110.4604783,105.2400206,97.01793508,99.82760392,106.2071375,104.6281711,106.355484,114.0991045,112.0563167,118.0328318,116.3106761,131.5257789,129.7940544,134.3763157,140.7990777,162.2151067,162.4347393,155.6452513,161.7443348,163.3353895,161.4168576,168.7785762,168.3963834,170.5542593,171.7224565,173.3163723,176.9268612,169.7377325,176.9039084,164.4588596,181.5691784,164.6305254,164.8221195,168.80322,152.7137347,157.1241222,169.8582742,180.3055712,179.7137489,184.8648747,169.0936573,175.797727
Germany,Consumption (quad Btu),17.34988698,16.89296104,16.72820156,16.62508821,16.92433668,17.49387169,17.76795288,17.68784544,17.66889818,17.25463346,16.79510659,14.95781367,14.67384274,14.58368926,14.42204663,14.72416211,14.9425741,14.71225285,14.6564141,14.3749544,14.39489097,14.67738067,14.46525658,14.48048479,14.53844856,14.28504515,14.54251681,13.99814859,14.27551857,13.42854611,14.14063959,13.54052721,13.69644792,13.94055856,13.47988541,13.64252557,13.72743281,14.19870229,13.8058034,13.36037079,12.18183939,12.50082758
Germany,Fossil fuels (billion kWh),390.323,375.255,365.988,371.865,377.797,361.696,370.239,366.211,368.096,356.43,358.927,346.073,330.363,324.102,325.335,327.99,337.465,328.939,338.601,326.069,339.75548,342.9449,343.50044,365.276,360.068,360.722,362.97,374.018,362.275,331.293,351.514038,346.272358,351.07179,353.866316,333.900503,332.890695,342.791533,328.746874,310.7798444,264.1422421,232.8862875,260.7899406
Germany,GDP,1761.467957,1768.196407,1753.143312,1784.298602,1834.585162,1874.769871,1916.181414,1945.055789,2009.989513,2075.675197,2015.547621,2863.642,2906.753,2877.87,2948.988,2996.207,3021.806,3077.961,3133.447,3188.237,3288.198,3347.766,3342.319,3318.382,3341.74,3371.82,3506.728,3614.957,3639.783,3434.4,3573.391,3715.884,3738.869,3759.497,3842.333,3890.028,3973.327,4091.895,4133.062,4178.71,4003.317,4128.388
Germany,Generation (billion kWh),467.372,461.757,461.131,468.972,501.838,518.739,520.399,528.533,545.454,527.681,523.466,505.457,503.627,493.139,495.603,502.972,520.14,517.17443,522.214,519.283,540.11648,549.6969,549.97644,572.726,579.7422,577.6862,594.1134,598.5474,600.122,558.121,592.76104,575.676356,591.388791,601.497317,592.096504,611.510695,616.083534,620.117876,607.5568443,577.612099,545.3611372,557.1440648
Germany,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0004,0.0004,0.018,0.019,0.02,0.018998,0.024999,0.069001,0.098,0.133,0.175,0.163,0.178,0.197,0.231,0.249
