COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Germany, East",Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",CO2 emissions (MMtonnes CO2),521.4169534,525.7923145,527.2899134,521.3783021,542.1643218,542.9069069,543.6248811,528.9352758,520.3010909,501.5552968,462.6326207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Coal (quad Btu),4.776583345,4.867710001,4.860329462,4.866436566,5.02991523,5.053453294,5.025535376,4.896782746,4.835694157,4.773635501,4.41470584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Coal and coke (MMtonnes CO2),457.2702117,465.8840972,466.5758511,466.5898363,480.2324264,484.0722521,482.6828357,470.9455776,464.381874,457.3876126,423.7954587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Consumed natural gas (MMtonnes CO2),10.2012053,10.3046658,10.139129,10.2632816,12.1669548,12.001418,12.4566442,11.4841155,12.4566442,12.1669548,7.3870797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Consumption (quad Btu),5.918515743,5.955089999,5.976420414,5.920094915,6.170594092,6.187990421,6.159649032,5.9777702,5.879770391,5.74970301,5.209283095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Fossil fuels (billion kWh),85.261,81.544,84.548,85.21,96.605,99.337,102.616,101.244,104.853,105.123,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Generation (billion kWh),98.808,94.478,96.52,98.419,110.093,113.834,115.291,113.62,117.634,117.724,104.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, East",Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
