COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Germany, West",Biomass and waste (billion kWh),5.165,4.74,4.725,4.046,4.316,4.319,4.191,3.798,4.303,4.595,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",CO2 emissions (MMtonnes CO2),735.6348212,690.6843286,686.1847142,680.5382654,705.3670028,726.0039689,751.4315818,745.3645752,735.0228392,720.8701702,719.1009052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Coal (quad Btu),3.184388897,3.24514,3.240219642,3.244291044,3.35327682,3.368968863,3.350356917,3.264521831,3.223796105,3.182423667,2.943137227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Coal and coke (MMtonnes CO2),296.7439507,302.7610093,307.7144363,307.1315244,311.0759411,316.0027234,318.9267381,312.7900006,306.6645708,299.8562545,280.3753224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Consumed natural gas (MMtonnes CO2),100.259273,94.9353548,86.87880608,89.56432232,94.04018272,92.62675312,93.89883976,102.614989,99.59967248,105.865877,108.9235964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Consumption (quad Btu),11.43137124,10.93787104,10.75178115,10.70499329,10.75374259,11.30588127,11.60830385,11.71007524,11.78912779,11.50493045,11.58582349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Fossil fuels (billion kWh),305.062,293.711,281.44,286.655,281.192,262.359,267.623,264.967,263.243,251.307,261.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Generation (billion kWh),368.564,367.279,364.611,370.553,391.745,404.905,405.108,414.913,427.82,409.957,419.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Hydroelectric pumped storage (billion kWh),-2.488,-2.692,-2.825,-2.694,-2.774,-3.029,-2.813,-2.729,-2.944,-2.896,-2.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Hydroelectricity (billion kWh),17.125,17.889,17.694,16.713,16.434,15.354,16.526,18.36,18.128,16.482,15.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Natural gas (quad Btu),1.889664,1.78932,1.637472,1.688088,1.772448,1.745808,1.769784,1.934064,1.877232,1.995336,2.0529672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Non-hydroelectric renewables (billion kWh),5.165,4.74,4.725,4.046,4.316,4.319,4.192,3.8,4.311,4.621,4.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Nuclear (billion kWh),43.7,53.631,63.577,65.833,92.577,125.902,119.58,130.515,145.082,140.443,139.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Nuclear (quad Btu),0.465915269,0.570076153,0.673972674,0.698429474,0.976549334,1.320109593,1.252956546,1.366604592,1.518551178,1.470252432,1.459256485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West","Nuclear, renewables, and other (quad Btu)",0.634642992,0.752191956,0.89638157,0.909239638,1.105433723,1.46072371,1.456012728,1.597359145,1.717913993,1.633387063,1.647913273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Petroleum and other liquids (MMtonnes CO2),338.6315975,292.9879645,291.5914719,283.8424186,300.250879,317.3744924,338.606004,329.9595856,328.7585959,315.1480387,329.8019864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Petroleum and other liquids (quad Btu),5.72267535,5.151219085,4.97770794,4.86337461,4.522584049,4.730380698,5.032150202,4.91413026,4.970185688,4.693783721,4.941805786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Renewables (billion kWh),22.29,22.629,22.419,20.759,20.75,19.673,20.718,22.16,22.439,21.103,20.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Renewables and other (quad Btu),0.168727723,0.182115803,0.222408896,0.210810165,0.128884388,0.140614117,0.203056182,0.230754553,0.199362815,0.163134631,0.188656788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Solar (billion kWh),0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
