COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,1.347,1.82,1.84,1.863,1.893,1.923,1.949,1.976,9.557,11.947,14.915,17.873,20.819,23.349,27.642,26.456,26.223,33.45,32.033,32.6,32.91,29.9304
India,CO2 emissions (MMtonnes CO2),269.9538007,304.6729519,319.9081005,336.8731029,366.704573,388.4813193,416.5131274,446.2146495,484.6013459,510.6211492,541.3393144,570.7143265,604.9977661,630.6355562,670.3826454,720.7442855,755.55765,792.1751158,810.2235618,851.7694937,885.9677365,907.7096698,953.8466593,971.4630725,1069.898627,1118.583113,1208.587716,1313.504723,1405.33157,1546.549131,1647.607765,1701.423609,1820.425035,1866.76859,2020.859393,2144.966958,2211.615896,2243.062439,2383.318723,2464.61239,2315.066627,2372.842003
India,Coal (quad Btu),1.82443483,2.049102018,2.182958792,2.294281546,2.532738622,2.639568725,2.873698918,3.078221107,3.286405825,3.490743809,3.715615933,3.964401881,4.172780931,4.348137434,4.552159298,4.78775699,5.029116531,5.24103176,5.256770537,5.547791544,5.726695032,5.897119886,6.147441255,6.327586305,7.021958178,7.4558047,7.992034118,8.757278787,9.605262988,10.73994484,11.43028388,11.92344565,12.93792118,13.52130962,14.94037279,15.04899648,14.83889943,15.38649476,16.3604676,16.36276258,15.48535771,16.43188053
India,Coal and coke (MMtonnes CO2),175.1774613,196.7645856,209.6052458,220.5573434,242.9717351,253.4376634,275.5208472,295.3521628,315.6701967,335.3846589,356.9730932,381.2946943,401.8833379,419.1567941,440.1301053,465.420922,488.3520855,511.8458582,511.4919259,542.5028343,560.5416088,575.8260146,601.3192189,616.3162423,684.9381009,727.6161873,784.0724951,858.3588846,932.6261582,1038.269635,1101.798011,1151.572587,1252.342424,1307.907183,1446.310929,1533.812009,1534.775999,1545.642611,1664.028709,1724.204545,1660.502195,1678.471003
India,Consumed natural gas (MMtonnes CO2),3.11447939,3.908366293,5.302854663,6.315759487,6.732837943,8.04365595,10.9922802,13.8624867,18.93114923,19.23649035,24.36622111,27.41963228,29.11442815,32.47876206,36.2525401,38.32336355,38.20556455,39.32925763,41.73163593,41.26665948,39.42612772,38.8836552,50.52744034,53.14683013,59.9605263,69.96692582,75.51522128,82.14583859,85.70541165,106.2794951,128.8097549,127.851022,119.082611,104.8614069,102.5484639,99.15494901,108.0291447,113.0941978,121.4820303,124.5047628,123.1299125,130.9593649
India,Consumption (quad Btu),3.753147288,4.204146551,4.356720191,4.598949642,4.994465476,5.250769524,5.67988119,5.956548461,6.589637794,6.946077442,7.420311772,7.785671441,8.181045887,8.49102522,9.098108037,9.644692876,10.07505167,10.59982789,10.73078403,11.41689736,12.207183,12.42040714,13.05898172,13.46883594,14.60003369,15.43019029,16.72165792,17.97103657,19.10974451,20.79817138,22.20138394,23.12638727,24.28640882,24.95909724,26.63534836,27.16271479,28.14120366,29.35569464,31.20637122,31.74905229,29.95816199,31.96251611
India,Fossil fuels (billion kWh),69.72,78.54,89.08,91.627,104.494,119.727,133.852,156.494,166.945,189.787,198.913,223.055,240.686,263.578,279.298,317.214,336.093,355.762,376.819,410.699,446.838,461.555,486.464,512.638,533.78,544.559,582.001,619.719,651.524,709.428,747.89878,841.50563,902.59461,939.0101169,1037.197369,1109.228918,1163.141704,1214.483115,1281.443944,1275.746399,1224.991977,1317.595505
India,GDP,927.043,984.4822,1025.8,1089.971,1139.54,1196.734,1255.148,1308.184,1414.718,1510.762,1597.189,1630.672,1703.284,1784.539,1895.428,2036.365,2188.784,2292.614,2427.43,2627.077,2779.897,2876.447,3008.865,3202.748,3452.769,3726.928,4031.058,4352.613,4575.838,4786.603,5222.766,5583.083,5866.963,6227.648,6663.925,7163.961,7807.771,8281.77,8882.995,9293.557,8704.436,9504.85
India,Generation (billion kWh),119.26,131.12,139.41,144.987,161.739,174.93,191.896,208.235,229.432,255.104,275.495,300.311,315.973,339.346877,366.118,396.074,412.682,441.169,470.765,504.536,537.652,556.822982,582.345,614.472,644.833,675.277,728.494,762.81,803.85,866.998,916.49978,1044.99438,1099.30308,1164.907617,1269.695749,1334.308704,1411.83407,1490.129117,1586.861183,1615.893536,1581.26851,1702.094
India,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
