COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ireland,Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0.015,0.027,0.081,0.085,0.091,0.095,0.097,0.082,0.086,0.109,0.13,0.129,0.169,0.209,0.251,0.314,0.335,0.493,0.551,0.611,0.553,0.752,0.894,0.894,0.894,0.894,0.9301
Ireland,CO2 emissions (MMtonnes CO2),20.61703596,20.40269804,19.74347087,19.83199527,20.09688698,20.55871484,23.62154839,24.18216027,23.1609942,24.48130122,25.89779248,26.87356593,26.64589341,27.70209884,28.78155546,29.53584009,31.47490862,33.00562907,35.70430533,38.04408218,40.72031207,43.19501339,42.0921186,41.35562932,42.69056772,43.92542142,44.91953452,44.67264772,43.53584583,38.01481235,39.16335539,35.26990308,34.94334375,34.08077476,33.69206633,34.24024405,35.94170454,35.51608507,37.01742913,34.74528545,32.25507344,33.62838844
Ireland,Coal (quad Btu),0.02573797,0.032781661,0.033146091,0.037832246,0.037786088,0.040128256,0.059032239,0.082404488,0.082198177,0.086856121,0.085103849,0.083180731,0.077308069,0.077101411,0.070373166,0.069463339,0.076939708,0.069949562,0.071984982,0.062019709,0.073432182,0.075988949,0.072799545,0.070994116,0.072967109,0.076178206,0.066873801,0.063654003,0.05682573,0.045988708,0.049797396,0.050659547,0.061151867,0.052856539,0.050596519,0.046036272,0.040211292,0.030372689,0.032688207,0.005861905,0.017158948,0.028811072
Ireland,Coal and coke (MMtonnes CO2),2.444403949,3.099008857,3.139853693,3.5717714,3.570813436,3.773727262,5.541415,7.72152082,7.708262702,8.181989557,8.082898639,7.856145094,7.321627085,7.276192742,6.638378629,6.534880939,7.238339595,6.588069689,6.779367099,5.839643616,6.906876436,7.169782365,6.867976354,6.674422874,6.861413393,7.158614762,6.279784507,5.974400947,5.332662072,4.320248854,4.683773268,4.74510849,5.768860251,5.021769061,4.808126812,4.391754369,3.828351335,2.907458119,3.125458784,0.615107892,1.64206844,2.706196129
Ireland,Consumed natural gas (MMtonnes CO2),1.714791467,2.625774433,3.911868033,4.109875513,4.376750547,4.64362558,3.149125393,3.167907453,3.793392497,4.286978667,4.38545184,4.49687084,4.442801322,5.0423841,5.131250834,5.464411152,6.197578023,6.487890384,6.559248229,7.00965856,8.037963636,8.381043028,8.564680244,8.604627446,8.785866331,8.215417654,9.20847101,9.942798776,10.37143676,10.0247505,11.00424412,9.628920585,9.377011494,8.9936327,8.66666052,8.693862685,10.19540821,10.44699695,10.85386934,11.01161956,11.039771,10.32501731
Ireland,Consumption (quad Btu),0.323171382,0.313294797,0.310540667,0.299006464,0.304139979,0.310888538,0.33626131,0.335639902,0.328167489,0.345956509,0.366678425,0.380904909,0.379776004,0.39659675,0.413883437,0.423907351,0.453618251,0.479452476,0.517915674,0.556975854,0.598318015,0.621915695,0.618463631,0.612892272,0.638621473,0.665623502,0.688324245,0.679850563,0.68148274,0.614673983,0.633973417,0.589765511,0.576175929,0.575450648,0.572260871,0.588316545,0.615502493,0.625973359,0.659845324,0.650900648,0.623006506,0.621480648
Ireland,Fossil fuels (billion kWh),8.91,8.818,9.087,9.013,9.317,9.934,10.119,11.132,11.054,12.039,12.72,13.332,14.059,14.447,14.936,15.863,17.068,17.747,18.526,19.403,21.13872,22.1887,22.05334,22.29962,22.39174,22.32782,23.16254,23.552,24.741,22.419,23.555447,20.961037,21.038726,19.172589,18.672379,19.501823,21.919874,21.041883,19.9559394,18.2712922,17.7947102,22.3461784
Ireland,GDP,63.78984,65.55759,66.42401,66.51018,68.96567,73.03773,73.28873,76.53439,79.96016,84.93672,96.31752,98.21442,101.5634,104.1849,109.9732,116.8166,125.039,138.1113,150.4843,165.6512,179.6388,189.8057,200.598,208.9718,222.4149,235.8639,248.1066,261.0381,249.7623,236.2218,238.55,241.4144,241.1785,245.4605,265.9209,324.8156,332.3374,365.4313,396.9069,418.9973,443.4006,508.8044
Ireland,Generation (billion kWh),9.54,9.448,9.674,9.598,9.799,10.553,10.851,11.673,11.786,12.588,13.29,13.977,14.778,15.13,15.77,16.496,17.711,18.43922,19.567,20.396,22.17072,23.0527,23.24434,23.23862,23.58174,24.00882,25.42254,26.142,28.127,26.296,27.165581,26.372895,26.202849,24.618802,24.904899,27.189981,29.259077,29.879721,29.9323625,29.8700272,30.9904099,33.5958721
Ireland,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
