COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Japan,Biomass and waste (billion kWh),0,0,8.506,9.495,10.686,11.17,12.427,13.358,14.639,15.675,10.52,10.848,11.095,10.929,11.575,12.588,13.273,14.676,14.923,15.443,9.12,8.704,9.006,9.507,9.905,13.466,13.491,14.021,13.453,12.413,12.468,12.727,13.075,14.419,15.377,16.003,17.611,20.256,21.487,27.208,27.995,27.2848
Japan,CO2 emissions (MMtonnes CO2),871.7885899,848.7916141,755.6734237,782.6269608,957.9933639,936.6975858,929.0293038,935.0982062,1009.216327,1041.670297,1109.036304,1125.659049,1133.122612,1129.993734,1185.446768,1197.860426,1216.417508,1220.311603,1185.953844,1225.236409,1232.962057,1225.821486,1232.0714,1271.489374,1264.472803,1279.059075,1265.972009,1276.600388,1236.243427,1144.851366,1197.157441,1226.315035,1301.12818,1296.959119,1259.83976,1215.165346,1204.356491,1184.76473,1158.524541,1118.966792,1051.193751,1060.271621
Japan,Coal (quad Btu),2.396834308,2.629207787,2.609738087,2.551815506,2.862515844,2.999394524,2.874225601,2.860786885,3.099577526,3.083971058,3.252765257,3.294429466,3.246114402,3.325240119,3.434666712,3.57041873,3.626118832,3.702506159,3.563564494,3.714714296,3.941797833,4.065557375,4.217717045,4.376124074,4.459635955,4.602451579,4.533835644,4.705974188,4.559431523,4.346777712,4.68644039,4.562868723,4.813197679,5.078411237,4.939795567,4.861628183,4.841466594,4.879610856,4.757568706,4.713906721,4.633662988,4.612050647
Japan,Coal and coke (MMtonnes CO2),217.4860324,239.5958291,235.438923,228.1465634,255.4648512,267.3791924,255.7916727,253.678307,280.4431863,280.3155681,299.2401141,300.5592628,294.4517917,300.8634522,312.1013334,324.7199888,332.6111704,343.0230744,325.6436012,345.1601473,368.92484,378.451984,392.1341419,409.4443096,421.270978,434.6773059,425.1045369,443.6672417,429.6698905,406.1695481,441.0977617,427.2871679,449.4750784,479.1175987,472.4063633,462.4073729,457.5075922,457.9694914,446.5907705,439.2432319,426.6206946,432.3015024
Japan,Consumed natural gas (MMtonnes CO2),51.31179207,52.56191325,53.20755983,56.7695722,76.21505276,81.54788444,82.99219302,85.71415919,89.88043394,96.06578014,116.3272134,124.3544876,125.806797,129.0141452,134.979694,139.7699407,145.9036725,151.388416,154.6353366,163.5167164,163.7053452,162.8169471,169.9970221,175.7415722,175.4588877,174.7138199,192.3015764,210.4355866,205.4729561,204.6745666,216.4865404,251.2705099,260.8383361,258.7962623,259.8626551,246.9598154,256.2863271,255.2671614,249.4006683,233.0898262,224.495058,223.4086434
Japan,Consumption (quad Btu),15.80890506,15.7902113,15.27185632,15.05697956,16.0406037,16.07079464,16.17685209,16.58919819,17.61176044,18.14844612,19.25858564,19.73287567,19.82002146,20.09168173,20.80821873,21.48917169,21.87086965,22.24979797,21.845364,22.27326174,22.27183206,22.0735189,21.89414122,22.03294461,22.34134156,22.47295563,22.63235207,22.45674503,21.47741787,20.52933765,21.50388528,20.82323458,20.34155526,20.31157853,19.78906408,19.37604842,19.40962604,19.4680122,19.27362643,18.94545382,17.71534896,18.12524194
Japan,Fossil fuels (billion kWh),381.596,378.066,368.015,387.521,407.783,395.252,393.08,419.676,449.051,483.827,523.988,533.223,545.75,517.17,580.418,567.955,577.17222,577.701,571.346,596.222,583.133,570.14,611.204,639.569,627.455,639.023,633.654,711.204,667.588,616.34,697.893543,784.443223,928.37541,905.511764,899.650104,856.050919,839.138254,813.821528,789.9755981,741.8437459,724.9216559,690.2132379
Japan,GDP,2642.718,2755.018,2846.832,2946.781,3081.842,3240.415,3349.108,3505.564,3747.045,3926.385,4119.521,4260.128,4298.867,4274.288,4315.886,4428.984,4568.67,4614.946,4554.086,4542.902,4666.344,4684.97,4685.225,4759.076,4861.526,4950.207,5016.808,5090.952,5027.492,4742.094,4936.614,4938.403,5006.059,5108.269,5119.202,5200.857,5238.468,5327.815,5361.494,5340.34,5111.1,5229.508
Japan,Generation (billion kWh),546.764,546.029,553.199,586.835,618.331,638.364,643.521,693.668,725.328,763.506,813.348,840.404,848.558,856.06,911.02,935.922,955.00903,985.076,991.287,996.945,983.184,965.017,982.598,973.485,1001.921,1011.127,1028.619,1069.041,1003.209,974.935,1079.223897,1044.066672,1043.550711,1027.427071,1027.238336,1003.029903,1002.320654,1005.866632,1008.910122,988.9822695,960.7846955,954.8569816
Japan,Geothermal (billion kWh),1.091,0.845,1.201,1.361,1.279,1.409,1.306,1.328,1.289,1.301,1.741,1.773,1.787,1.778,2.064,3.173,3.673,3.756,3.531,3.451,3.348,3.431,3.374,3.484,3.374,3.226,3.081,3.044,2.75,2.887,2.456759,2.366026,2.400023,2.316471,2.341232,2.380359,2.286338,2.193587,2.3043506,2.5549612,2.9770333,3.023
