COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Russia,Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,1.852,1.756,1.609,1.579,1.556,1.532,1.519,2.075,2.538,2.868,2.801,1.808,1.808,2.638,2.74,1.997,2.544,2.643,2.774,2.777,3.033,2.925,3.103,2.819,2.464,2.678,2.613,2.859,2.944,3.763
Russia,CO2 emissions (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,2206.984323,2028.935994,1840.406812,1768.539365,1630.789539,1533.455661,1518.14442,1516.718673,1540.334305,1535.638066,1542.95063,1578.930945,1583.795963,1570.506805,1644.68984,1616.21969,1689.705179,1505.588573,1661.036739,1733.554377,1741.540317,1692.568225,1686.124243,1690.150382,1675.85385,1698.359822,1762.74018,1812.567707,1699.223459,1867.198781
Russia,Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,7.414726273,6.604003017,6.082043586,6.022794578,5.881157546,5.392865769,5.119433523,5.151996042,5.316051126,5.337823687,5.170921824,5.205164032,4.959854776,4.904207939,4.973248395,4.770460685,5.170348137,4.47064277,4.33437284,4.551678074,4.786698033,4.259141765,4.117539458,4.616100958,4.470864844,4.498761785,4.787386357,4.901168924,4.562809343,4.792908613
Russia,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,693.5347092,617.3515539,568.7610964,563.8976504,550.2616409,504.0683329,478.422658,478.1312473,496.2432318,496.752021,476.8056511,479.5101238,454.8201201,454.4111238,464.9571284,441.3331856,479.4592913,417.438891,402.9018339,424.1026846,447.0058521,396.7790086,383.3332981,430.3082009,417.1743777,417.8075787,445.8627903,456.0326368,424.7522089,447.2394972
Russia,Consumed natural gas (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,881.4496141,865.5844398,813.6457153,776.6417146,700.5278982,658.3873281,674.7217617,673.5874261,699.091073,690.886045,726.1449788,760.4208216,792.9758431,780.0956808,828.7327116,828.8865045,846.2458875,735.1496816,889.1349055,918.4516929,901.5344648,887.7892169,882.790945,845.8421809,843.2546359,863.2463811,907.8297425,886.2457341,849.9775235,958.6430638
Russia,Consumption (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,36.26853426,32.69108954,29.68703201,29.24267311,27.38352596,25.8784588,25.59140533,25.88452714,26.78003792,26.82142151,27.20578417,27.86554623,28.34258602,28.09590229,29.37020008,29.15419728,30.04534804,27.15526349,30.30389732,31.42761259,31.48056846,31.09814022,31.36027357,30.9650754,31.02390028,31.26933107,32.39329874,32.597945,32.81496851,34.21033961
Russia,Fossil fuels (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,679.62,627.92,540.362,545.957,547.835,533.179,530.088,527.223,544.333,541.005,547.553,569.718,570.728,588.422,621.216,633.394,665.115,610.217,654.1789,668.25728,679.02404,658.52264,660.3453,656.49694,661.94706,658.19082,670.69564,668.43118,609.96506,663.0320202
Russia,GDP,0,0,0,0,0,0,0,0,0,0,0,0,2474.458,2259.384,1970.162,1866.003,1799.268,1823.148,1727.035,1834.432,2018.522,2120.586,2221.09,2382.362,2552.779,2715.893,2937.554,3188.68,3357.209,3093.454,3233.104,3370.568,3506.204,3567.749,3594.02,3523.118,3529.94,3594.424,3695.298,3776.525,3676.308,3882.705
Russia,Generation (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,965.246,914.255,807.727,815.158,804.127,793.875,786.491,798.773,832.944,842.446,846.084,868.008,885.454,901.02176,941.65068,960.14694,984.17081,939.5156,982.56224,998.47541,1013.95248,1003.59126,1007.4473,1010.03494,1033.16006,1036.282948,1046.83945,1062.86856,1044.284104,1109.689916
Russia,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.028,0.031,0.03,0.028,0.029,0.03,0.028,0.058,0.091,0.156,0.324,0.403,0.41,0.463,0.485,0.465,0.464,0.505,0.522,0.477,0.444,0.455,0.457,0.446,0.435,0.426,0.433,0.421,0.445
