COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
South Korea,Biomass and waste (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.403,0.079,0.059,0.097,0.093,0.11,0.231,0.247,0.368,0.294,0.347,0.573,0.584,0.623,1.107,1.639,1.664,1.763,2.158,3.15,6.371,6.898,8.436,9.318,9.128,16.72745
South Korea,CO2 emissions (MMtonnes CO2),138.9008355,146.2525588,149.4552739,153.8106654,169.2653187,177.8741289,190.0702972,207.6043611,233.1552866,243.0930481,263.6726854,287.7219208,310.3486145,335.3117765,362.803287,391.6880893,422.3283933,446.2450553,391.6252498,428.9977425,465.6595976,480.3668295,480.1092913,492.7061333,497.2120715,504.4641264,512.0359579,537.4777615,549.2931595,556.0264277,612.0598291,636.267934,641.572254,647.0002009,642.5347301,662.079625,682.9346081,687.9410717,702.5086343,686.672901,658.6946756,678.8909631
South Korea,Coal (quad Btu),0.641698744,0.738987843,0.779074589,0.804239451,0.913141162,1.022571712,1.100811011,1.198857927,1.267082469,1.209904302,1.181529309,1.155197233,1.072231001,1.115657794,1.126527263,1.16162861,1.303894478,1.391355434,1.437636442,1.515584879,1.821615938,1.973829433,1.887330518,1.997114497,2.023143804,2.074222422,2.150077971,2.327552114,2.593739807,2.706864815,3.02576992,3.284601188,3.239308725,3.220351934,3.320141254,3.41635565,3.431014358,3.496187688,3.519230659,3.386180407,3.200547376,3.235020056
South Korea,Coal and coke (MMtonnes CO2),65.50895249,74.78406038,78.74243587,81.1497956,91.70217874,102.0977909,109.9468662,119.2782016,125.8483233,119.2658083,115.7489565,112.751169,104.2318474,107.7003085,108.2105325,110.9688663,124.0682215,132.1700308,136.425376,143.8338093,172.7051483,187.1447341,179.2043765,190.0991915,192.5447808,196.9139398,204.1290445,221.5651844,246.4773194,256.1971016,287.3517013,311.1203894,306.4955753,304.5055091,314.2395336,323.6050152,324.878205,330.3908728,332.9107686,319.3828426,301.2995865,304.1798215
South Korea,Consumed natural gas (MMtonnes CO2),0,0,0,0,0,0,0.148426025,4.4488015,5.753783273,5.51651386,6.35263387,7.355351813,9.642329109,12.04505592,16.03354052,19.38730304,25.61302586,31.15436053,29.14365781,35.48816921,39.69408126,42.67554036,48.9005418,50.95317784,60.06948174,63.90009057,68.30545946,73.7913271,75.05850408,72.15256806,90.85227485,97.93466853,106.1071648,110.2517978,99.42120651,92.97100481,96.28139611,99.61618691,115.7280747,112.1865794,115.1971241,125.2277116
South Korea,Consumption (quad Btu),1.880551643,1.969777549,2.006705881,2.152857188,2.250154453,2.399480309,2.672856627,3.035095555,3.372136813,3.627466028,4.064050595,4.530335948,5.043895237,5.475795011,5.871609201,6.40318082,6.920414371,7.455178521,6.870016912,7.539670745,8.095704975,8.314835373,8.422207243,8.753139127,8.927439147,9.226403417,9.390853415,9.747244396,9.899298562,10.00110349,10.86925963,11.30538597,11.51300012,11.4815167,11.58273929,11.90711841,12.27482931,12.33427111,12.41635267,12.38887883,12.14042278,12.71374749
South Korea,Fossil fuels (billion kWh),29.756,32.4,34.965,34.799,37.097,35.211,30.306,27.467,39.288,39.996,45.516,53.822,65.395,75.47542,113.3452,123.1776,138.38586,154.254,136.111,120.569,164.91078,181.16056,194.7821,195.83678,217.27348,222.72078,234.40028,261.55124,271.13736,281.01582,329.272985,344.347222,359.718346,375.53136,366.350301,356.542436,365.458397,380.343145,411.2899266,387.5087252,364.2636725,390.6343365
South Korea,GDP,203.9763,218.7568,236.9969,268.6982,297.0501,320.3356,356.6207,401.996,450.186,482.0275,529.6399,586.7249,623.0938,665.9469,727.6712,797.6336,860.5726,913.6746,866.8081,966.2045,1053.751,1104.883,1190.237,1227.697,1291.505,1347.15,1418.069,1500.31,1545.514,1557.766,1663.769,1725.09,1766.536,1822.441,1880.804,1933.638,1990.62,2053.516,2113.22,2160.64,2145.312,2237.662
South Korea,Generation (billion kWh),34.472,37.233,39.67,44.911,49.618,53.468,58.833,66.553,76.907,85.77,98.125,110.207,121.515,134.25742,170.76774,188.88793,210.45462,229.221237,225.012,222.087,271.99333,291.34456,310.3041,323.92378,345.72048,363.92178,379.07228,402.36624,418.99836,426.00182,476.817983,499.338217,510.170341,515.910363,522.998305,523.514435,535.102536,539.767567,561.0835364,553.2730353,550.3450845,587.3062261
South Korea,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
