COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Kingdom,Biomass and waste (billion kWh),0,0,0,0,0,0,0,2.165,1.287,1.354,0.678,0.776,1.038,1.364,1.87,2.054,2.221,2.593,3.237,3.987,4.455,7.046,7.946,8.955,9.529,11.658,11.667,11.137,11.335,12.462,13.67,15.14,16.84,20.08,25.11,33.503,34.924,36.096,39.179,41.973,44.949,38.5459034
United Kingdom,CO2 emissions (MMtonnes CO2),612.6489238,563.3333331,558.4141528,551.0674612,554.6962076,583.1965569,605.8182319,608.7197184,607.1526978,599.242857,605.8875831,613.6850654,596.7315685,583.3320971,576.8671023,572.4702032,595.236738,563.2898385,564.1726786,557.9823808,569.646097,574.4422915,562.4128295,575.9453537,585.1949375,585.0286959,589.2383719,574.3540041,567.7228259,519.3831875,542.2664319,503.0792549,520.3687859,509.1214025,468.888779,450.5015684,428.2376133,415.3488106,408.9477944,391.8438413,331.1740714,346.3554777
United Kingdom,Coal (quad Btu),3.154353846,2.987708426,2.802726671,2.803645422,1.948259886,2.659224512,2.893158234,2.937072486,2.83208673,2.719307207,2.721779504,2.70687676,2.545586022,2.217974906,2.089837059,1.967898578,1.826264729,1.613424886,1.615681279,1.425810146,1.533955301,1.634967833,1.506219226,1.613752918,1.548184254,1.58463828,1.732093139,1.61494713,1.495857849,1.248038487,1.314251664,1.31933947,1.640991697,1.547553654,1.255225493,0.973582483,0.476009654,0.384187915,0.322605003,0.218881467,0.195181375,0.199141749
United Kingdom,Coal and coke (MMtonnes CO2),293.915852,277.2537615,261.6380878,264.4011942,189.8164797,248.5129696,269.6660018,276.8377447,268.3934585,256.983264,256.5878502,255.3990849,240.9080913,210.7074001,197.8332548,186.8973665,174.0669962,154.0789119,153.9892266,134.8812182,144.6330358,153.0428575,141.2978545,154.4276325,148.3572679,151.2102305,165.0986845,154.0453313,141.9745794,117.0851944,122.0739217,122.2510149,152.616222,147.3865147,120.4394401,94.67892083,48.82474393,39.25902034,33.60233902,23.50011198,22.20272873,22.42269186
United Kingdom,Consumed natural gas (MMtonnes CO2),94.27575432,95.9190254,95.43705864,99.28308335,101.8415819,109.2274413,110.7112241,113.9448687,108.0804623,106.929504,110.5546008,119.0918429,116.6335346,132.9838815,140.6877202,150.4065168,177.9560563,169.6154476,172.9155138,185.353821,191.1457907,189.1446832,191.485979,189.9489485,198.7373331,191.2858682,182.0607625,183.3053839,189.2536573,177.042517,198.4259643,164.688535,155.7349254,153.7908007,140.4567025,143.618033,161.6979883,157.3300869,156.9588446,153.9326229,145.8747096,150.9260724
United Kingdom,Consumption (quad Btu),8.994695866,8.556461542,8.46294408,8.487519576,8.37487002,8.727662211,8.991676472,9.044707577,9.115657765,9.140185827,9.29085871,9.592956764,9.518093379,9.659051024,9.681963452,9.70926402,10.23346326,9.821238245,9.864067549,9.898060467,9.904656654,9.978123023,9.844352707,9.900547829,9.940186541,9.910784482,9.806849843,9.4594441,9.353686276,8.819021847,9.185947484,8.617297932,8.755111675,8.729948671,8.273760567,8.361156007,8.295346482,8.263278334,8.23032386,7.978276076,7.158138663,7.13533658
United Kingdom,Fossil fuels (billion kWh),228.927,221.39,210.765,209.086,210.998,217.373,223.287,229.696,227.236,225.547,230.046,229.662,220.827,209.849,211.82,216.612,233.326,226.908,237.36,244.346,262.09362,263.3927,265.79064,275.71798,277.27838,276.6561,279.63308,289.834,290.176,260.325,280.628739,251.292538,238.399882,221.048062,197.415697,177.604429,174.101684,158.575942,147.6684386,138.9076502,118.0243245,127.4408054
United Kingdom,GDP,1352.115,1339.465,1362.088,1414.738,1441.648,1495.395,1533.901,1613.77,1697.392,1734.071,1745.141,1715.717,1716.238,1752.369,1813.325,1851.674,1886.999,1972.368,2034.642,2095.967,2181.748,2228.818,2268.284,2339.124,2393.976,2457.856,2510.955,2575.322,2571.348,2455.368,2515.034,2541.886,2578.704,2625.633,2709.645,2774.49,2834.563,2903.828,2953.338,3000.719,2669.714,2872.545
United Kingdom,Generation (billion kWh),264.918,258.792,253.864,257.115,261.707,274.562,279.07,283.498,288.315,294.582,297.67,301.413,299.641,300.042,302.355,307.633,328.457,326.543,340.133,344.024,352.58662,360.2617,362.42851,372.62865,368.74138,370.65059,368.44623,367.6483,360.71519,349.01892,363.598119,350.050286,344.691533,339.34853,321.330497,328.136974,326.0448092,324.556063,320.1469013,313.5442484,303.4642607,288.6085261
United Kingdom,Geothermal (billion kWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
