COUNTRY,Composite_Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,Biomass and waste (billion kWh),0.433162569,0.367828946,0.320918482,0.37861224,0.885950638,1.382871542,1.176742568,1.477028881,1.674243706,40.229404,49.397931,54.128953,58.064584,59.443594,60.732884,61.029861,61.282925,62.269504,62.357729,63.636682,65.520094,61.65439903,67.23565806,67.38559701,67.76985463,67.09786863,67.83501984,67.76970901,66.8372766,66.42106876,68.94470805,70.82442956,71.4092327,74.44554852,77.38271868,77.58662588,76.44952234,75.74182784,74.80512744,70.83812043,67.56680166,67.61886404
United States,CO2 emissions (MMtonnes CO2),4756.291608,4636.632309,4404.435525,4383.942651,4612.874432,4605.355982,4615.664202,4775.554086,4998.21477,5084.582098,5037.921686,4992.711012,5093.910982,5185.554383,5262.696746,5324.336423,5518.061647,5589.350745,5636.766713,5700.284735,5888.61768,5777.817879,5820.059312,5886.448751,5993.753168,6007.026097,5929.361338,6015.570889,5823.158104,5403.693362,5593.662183,5454.695354,5236.322549,5358.862755,5413.878802,5262.051773,5168.892161,5131.373947,5277.725936,5146.84246,4580.372166,4903.188377
United States,Coal (quad Btu),15.42280949,15.90752642,15.3215813,15.8944418,17.07062199,17.47842765,17.26040504,18.00845072,18.84631244,19.06976249,19.17263495,18.99167012,19.12247128,19.8351478,19.90946262,20.08872684,21.00191449,21.445411,21.6557439,21.62254371,22.57952806,21.91426829,21.9039893,22.32092797,22.46619457,22.7965427,22.44716005,22.74946629,22.38743736,19.69120544,20.83396756,19.65778407,17.378234,18.03863314,17.99763202,15.54887019,14.22590456,13.83746526,13.25153239,11.31559469,9.181109147,10.54754993
United States,Coal and coke (MMtonnes CO2),1453.794003,1502.932302,1449.084615,1504.795517,1616.102516,1655.024937,1635.733252,1709.483872,1792.727375,1813.144079,1820.022501,1805.942037,1821.880293,1881.678193,1892.224707,1912.142841,1994.532207,2038.849018,2063.632658,2061.622698,2154.743112,2087.256256,2092.877119,2133.921259,2158.366082,2180.146225,2146.008621,2171.295306,2138.693435,1875.159584,1985.938572,1875.601053,1657.873276,1717.844544,1713.367094,1481.89792,1355.200263,1317.951988,1262.555409,1077.519881,876.195454,1002.650633
United States,Consumed natural gas (MMtonnes CO2),1058.053976,1032.089207,960.901404,901.093998,962.252107,926.516318,867.86644,922.972357,964.372566,1026.9554,1026.254421,1047.755702,1083.261526,1110.705363,1136.048048,1185.442673,1206.743953,1213.776148,1191.31701,1196.935249,1246.049927,1191.759702,1231.52727,1195.380899,1200.931081,1182.46557,1169.696029,1245.157609,1254.522337,1233.390342,1292.438107,1312.327965,1371.560957,1408.379797,1437.536155,1478.884313,1489.851251,1470.964449,1626.90757,1684.623741,1649.82272,1655.121976
United States,Consumption (quad Btu),78.02111311,76.05718694,73.04618866,72.91539428,76.5706968,76.3341345,76.59888807,79.00820267,82.65916904,84.74000966,84.43287926,84.38032132,85.72490821,87.26591291,88.98326241,90.93073641,93.93454822,94.50704062,94.92023646,96.54457884,98.70228571,96.06380913,97.53547885,97.83487542,100.0024934,100.1017643,99.39181249,100.8937458,98.75432305,93.94303037,97.51423074,96.87214401,94.38651243,97.12995652,98.2974014,97.40661759,97.3836032,97.65985509,101.2442888,100.482331,93.01218493,97.90695472
United States,Fossil fuels (billion kWh),1753.796457,1755.40118,1644.061443,1678.02133,1758.882261,1794.276362,1770.924752,1854.894663,1942.353039,2108.628943,2103.619665,2103.262931,2138.704811,2230.741008,2270.13258,2293.908429,2346.018207,2430.319913,2547.065197,2569.669781,2692.478478,2677.004755,2730.166177,2758.649956,2824.798053,2909.522461,2885.295126,2992.237707,2926.731334,2726.451555,2883.361313,2788.86738,2775.024247,2745.967657,2750.599114,2728.431647,2655.431814,2537.396716,2660.018747,2584.421488,2429.342031,2503.973219
United States,GDP,7080.755,7260.456,7129.566,7456.385,7995.96,8329.374,8617.771,8915.903,9288.34,9629.423,9811.062,9800.435,10145.65,10424.86,10844.83,11135.92,11556.02,12069.95,12610.86,13215.5,13754.31,13885.57,14121.05,14515.91,15075.12,15600.22,16034.35,16356.74,16376.74,15950.96,16383.04,16636.95,17016.4,17329.82,17726.25,18206.02,18509.63,18924.57,19481.94,19928.97,19377.36,20529.63
United States,Generation (billion kWh),2289.600364,2297.973338,2244.372487,2313.445686,2419.465367,2473.00212,2490.470952,2575.287667,2707.411178,2967.177014,3037.862541,3073.83819,3083.925424,3197.238487,3247.575463,3353.548041,3444.257336,3492.250345,3620.383801,3694.912538,3802.221573,3736.784538,3858.619244,3883.380201,3970.796829,4055.785197,4065.230825,4157.491035,4120.587091,3951.942958,4127.598158,4104.174499,4054.26169,4074.145289,4104.796801,4092.85304,4096.386172,4059.433178,4210.526978,4165.531327,4051.289226,4164.564719
United States,Geothermal (billion kWh),5.073079416,5.686162688,4.842864896,6.075101212,7.74050396,9.325230178,10.30795438,10.77546111,10.30007887,14.593443,15.434271,15.966444,16.137962,16.788565,15.535453,13.378258,14.328684,14.726102,14.773918,14.827013,14.093158,13.740501,14.49131,14.424231,14.81097455,14.69174521,14.568029,14.63721302,14.83997656,15.00865802,15.21921314,15.316068,15.56242562,15.77467411,15.87694102,15.91757501,15.82580702,15.92677424,15.96713402,15.47271701,15.889697,16.23788369
United States,Hydroelectric pumped storage (billion kWh),0,0,0,0,0,0,0,0,0,0,-3.507741,-4.541435,-4.176582,-4.035572,-3.377825,-2.725131,-3.088078,-4.039905,-4.46728,-6.096899,-5.53886,-8.823445,-8.742928,-8.535065,-8.48821,-6.55778798,-6.557842,-6.896352,-6.288062,-4.627345,-5.501132,-6.42051601,-4.950496,-4.681033,-6.173548,-5.091488,-6.686127,-6.494548,-5.904539,-5.260744,-5.321205,-5.111684
United States,Hydroelectricity (billion kWh),279.1820898,263.8446641,312.3740129,335.2908554,324.3113647,284.3105375,294.005219,252.8560931,226.1008034,271.976936,292.865846,288.994189,253.088003,280.494008,260.125733,310.832748,347.162063,356.453295,323.335661,319.536029,275.572597,216.961045,264.328831,275.806323,268.4173084,270.321255,289.2464157,247.5099744,254.8313852,273.4450942,260.2030694,319.3549035,276.2402234,268.5653828,259.3666219,249.0800849,267.8121531,300.3329297,292.5239888,287.8737305,285.2738948,260.2248854
United States,Natural gas (quad Btu),20.2354591,19.74730967,18.35622215,17.22083607,18.39361252,17.70348219,16.59136414,17.63980088,18.44839265,19.60160567,19.60326685,20.0329575,20.71363202,21.2289997,21.72806683,22.67113874,23.08464704,23.22271633,22.83022619,22.90922744,23.82397678,22.77255777,23.51008092,22.83064221,22.92306137,22.565364,22.23873772,23.66275901,23.84295333,23.41593999,24.57475399,24.95453854,26.08858161,26.80513443,27.38283255,28.19109483,28.40035185,28.05509257,31.16283433,32.26369225,31.5769756,31.73107028
United States,Non-hydroelectric renewables (billion kWh),5.506241985,6.053991634,5.163783378,6.456381414,8.638192774,10.72449376,11.50291762,12.26652847,11.98428774,57.21641782,68.02309277,73.55741837,77.53292907,79.74782899,80.25514278,78.12987155,79.43659816,80.87287059,80.74811902,83.54950328,85.81641796,82.81587517,92.80307709,93.7262919,97.54129075,100.5129039,110.0284895,118.2149532,139.103999,157.8190692,182.5666074,212.1683642,238.6164672,275.276809,303.8386315,323.2549196,374.1343833,423.2484449,456.8043043,489.0875905,552.1156425,627.326799
United States,Nuclear (billion kWh),251.1155746,272.6735027,282.7732479,293.6771187,327.6335485,383.6907268,414.0380629,455.2703823,526.9730475,529.3547169,576.861678,612.565087,618.776263,610.291214,640.439832,673.402123,674.728546,628.644171,673.702104,728.254124,753.89294,768.826308,780.064087,763.732695,788.528387,781.986365,787.218636,806.424753,806.208435,798.854585,806.9683006,790.204367,769.331249,789.016473,797.165982,797.177877,805.693948,804.949635,807.084477,809.409262,789.878863,778.1515
