API,COUNTRY,EMISSIONS,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4008-8-WORL-MMTCD.A,World,CO2 emissions (MMtonnes CO2),18719.16226,18345.18264,18298.31656,18486.86527,19614.01552,20038.50142,20520.66734,21169.27187,21846.14316,22164.92996,22145.41295,21970.53907,21756.10964,21883.66645,22052.3184,22542.116,23034.64935,23103.44865,23150.37062,23492.72702,24249.34033,24460.77055,25004.8652,26148.25371,27588.74155,28674.60336,29620.55968,30070.39408,30778.78774,30600.03669,32501.91555,33612.62686,34397.05219,34819.96544,34869.28878,34810.52097,34630.11177,35003.04482,35617.66427,35655.03069,33679.78865,35462.72411
INTL.4002-8-WORL-MMTCD.A,World,Coal and coke (MMtonnes CO2),7491.61815,7518.337871,7651.370707,7855.808639,8212.132553,8503.411904,8601.810772,8936.353445,9204.905151,9214.547118,9100.505992,8811.539066,8569.362217,8568.018802,8602.585096,8849.936678,9049.766934,8908.8724,8857.102629,8899.298816,9363.693116,9465.121355,9703.00129,10502.81062,11417.23623,12181.6021,12857.76867,13486.96298,13732.39708,13845.49319,14984.5231,15790.09601,16274.36294,16460.02908,16363.96638,15989.43298,15580.29052,15628.00181,15827.46674,15741.55202,15251.92078,15966.05733
INTL.4010-8-WORL-MMTCD.A,World,Consumed natural gas (MMtonnes CO2),2842.337165,2843.874298,2854.973114,2913.476944,3214.469613,3349.5177,3395.116049,3571.676242,3753.118807,3925.341385,3971.958025,4055.9064,4075.491754,4181.691129,4174.754672,4297.390279,4396.182317,4422.460435,4456.588039,4571.850603,4736.163827,4754.98162,4974.681563,5119.26851,5279.489806,5429.202967,5630.349601,5811.117852,5978.147381,5782.117372,6324.816535,6513.89467,6662.05692,6759.120316,6783.647503,6883.268117,7023.602021,7241.122517,7601.449578,7726.427466,7577.037734,7948.649507
INTL.4006-8-WORL-MMTCD.A,World,Petroleum and other liquids (MMtonnes CO2),8385.206946,7982.970473,7791.972739,7717.579686,8187.413354,8185.571818,8523.740521,8661.24218,8888.119199,9025.041452,9072.948929,9103.093601,9111.255667,9133.956522,9274.978632,9394.789044,9588.700095,9772.115814,9836.67995,10021.5776,10149.48339,10240.66757,10327.18235,10526.17458,10892.01551,11063.7983,11132.44141,10772.31325,11068.24328,10972.42613,11192.57591,11308.63618,11460.63233,11600.81604,11721.67489,11937.81987,12026.21923,12133.92049,12188.74795,12187.0512,10850.83013,11548.01727
INTL.4008-8-AFG-MMTCD.A,Afghanistan,CO2 emissions (MMtonnes CO2),1.325964518,1.509627735,1.65960468,2.05960468,2.065436114,2.093515917,2.311010238,3.646724197,6.056769431,6.024286809,5.92606127,2.693772146,1.704078481,1.60213467,1.599940882,1.301904405,1.357036213,1.255092401,1.255092401,1.25314859,1.15314859,0.848627166,0.838908091,0.707268691,0.705324879,0.80338105,0.707268691,0.886020545,1.1258796,5.835371984,7.350372553,9.444349994,8.824399339,6.946117844,5.550387121,6.493659084,5.823184544,5.639362838,6.818422849,6.082892279,5.388894815,5.19367574
INTL.4002-8-AFG-MMTCD.A,Afghanistan,Coal and coke (MMtonnes CO2),0.231313858,0.242976745,0.28185303,0.28185303,0.287684464,0.293515917,0.311010238,0.324616937,0.268246331,0.246864369,0.204100461,0.182718516,0.01555051,0.013606699,0.011662887,0.009719075,0.005831435,0.003887623,0.003887623,0.001943812,0.001943812,0.050539171,0.040820096,0.068033493,0.066089681,0.064145852,0.068033493,0.197912549,0.327791605,0.576519187,0.965201379,1.223252182,1.481302985,1.653731801,1.330546728,1.29445266,1.844380618,2.012129829,2.17987904,2.347628251,1.93569408,1.633250547
INTL.4010-8-AFG-MMTCD.A,Afghanistan,Consumed natural gas (MMtonnes CO2),0.11110066,0.16665099,0.27775165,0.27775165,0.27775165,0,0,1.22210726,3.8885231,3.77742244,3.721960809,0.61105363,0.588527971,0.588527971,0.588277995,0.39218533,0.451204778,0.451204778,0.451204778,0.451204778,0.451204778,0.098087995,0.098087995,0.039235198,0.039235198,0.039235198,0.039235198,0.078470396,0.098087995,0.058852797,0.278371366,0.316625359,0.314467441,0.30308933,0.278371366,0.286806862,0.324276157,0.324276157,0.318251809,0.267356448,0.166604406,0.166604406
INTL.4006-8-AFG-MMTCD.A,Afghanistan,Petroleum and other liquids (MMtonnes CO2),0.98355,1.1,1.1,1.5,1.5,1.8,2,2.1,1.9,2,2,1.9,1.1,1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.609637601,0.7,5.2,6.106799808,7.904472453,7.028628913,4.989296713,3.941469027,4.912399562,3.654527768,3.302956852,4.320292,3.46790758,3.286596329,3.393820787
INTL.4008-8-ALB-MMTCD.A,Albania,CO2 emissions (MMtonnes CO2),9.618526399,9.533068754,9.594264089,9.981384922,10.12680853,10.0889756,10.15493954,9.828091766,9.947020892,9.31315936,6.830770197,4.756772992,3.901890471,2.890835751,2.328549426,2.463787517,2.019993742,1.958145439,2.331577807,2.926686734,3.264883293,3.579187341,3.750333192,4.25058022,4.345900091,4.637862111,4.612172485,3.173024237,4.525973878,3.02339894,3.673558222,3.756730087,3.393630544,3.857129766,4.043419507,3.913785734,4.111770605,4.525289645,4.151224673,4.016326603,3.683365239,4.149236695
INTL.4002-8-ALB-MMTCD.A,Albania,Coal and coke (MMtonnes CO2),2.379753099,2.522015124,2.838760789,3.070331292,3.315754895,3.5334723,3.477234921,3.639286486,3.658262642,3.62440111,3.130702976,1.779817192,0.502371513,0.332176513,0.269834796,0.205072887,0.161309578,0.119022663,0.072893643,0.087563958,0.106199129,0.120503177,0.091649028,0.091896056,0.087215927,0.079177947,0.153488321,0.221996331,0.269481938,0.366907,0.329973274,0.309336488,0.277315518,0.246715711,0.311597702,0.264177003,0.211666518,0.246282916,0.324258708,0.389937167,0.438093796,0.668733263
INTL.4010-8-ALB-MMTCD.A,Albania,Consumed natural gas (MMtonnes CO2),0.5555033,0.61105363,0.5555033,0.61105363,0.61105363,0.5555033,0.77770462,0.88880528,1.38875825,1.38875825,0.500067221,0.2769558,0.199518958,0.058659238,0.05871463,0.05871463,0.058684164,0.039122776,0.058684164,0.039122776,0.058684164,0.058684164,0.058684164,0.058684164,0.058684164,0.058684164,0.058684164,0.019336545,0.05649194,0.05649194,0.018587066,0.018587066,0.031598012,0.035315426,0.059478612,0.065054731,0.083641087,0.092934541,0.079780155,0.144845436,0.10362543,0.109606279
INTL.4006-8-ALB-MMTCD.A,Albania,Petroleum and other liquids (MMtonnes CO2),6.68327,6.4,6.2,6.3,6.2,6,5.9,5.3,4.9,4.3,3.2,2.7,3.2,2.5,2,2.2,1.8,1.8,2.2,2.8,3.1,3.4,3.6,4.1,4.2,4.5,4.4,2.931691361,4.2,2.6,3.324997882,3.428806533,3.084717014,3.575098629,3.672343193,3.584554,3.816463,4.186072188,3.74718581,3.481544,3.141646013,3.370897153
INTL.4008-8-DZA-MMTCD.A,Algeria,CO2 emissions (MMtonnes CO2),45.6635909,39.37619338,56.53198946,63.16895431,66.7668623,61.75720103,60.91846639,64.34300494,68.90540722,66.69049497,69.77155239,76.41920868,74.39048804,68.12408791,70.37499931,72.73684879,71.01265737,67.10799232,70.73252932,70.68890255,70.05952682,70.8334408,72.17892128,72.47891745,71.87850939,82.85727868,86.02878481,87.28944471,56.22255541,99.38018585,101.3528967,112.4887512,122.0168377,118.7205639,131.6959385,138.6641266,137.1713606,138.2245269,146.7121723,151.077948,141.804503,150.9299623
INTL.4002-8-DZA-MMTCD.A,Algeria,Coal and coke (MMtonnes CO2),0.237672237,0.714217515,1.910392197,3.098849773,3.194192969,3.194790894,3.229132658,3.272900409,3.329318151,3.369962969,3.136276186,2.898887015,2.687475377,2.110767808,2.150592493,1.284431932,1.443129556,1.537015448,1.704510092,1.689521744,1.643887711,1.671200367,1.080030515,1.147744566,1.165789448,1.251452263,0.97040148,1.124562419,1.153031936,1.159617942,1.099877444,1.407935614,1.388799245,0.9822675,0.833787114,0.555373744,0.377619958,0.956367717,0.956850617,1.16265748,0.773302849,1.162455363
INTL.4010-8-DZA-MMTCD.A,Algeria,Consumed natural gas (MMtonnes CO2),28.79915867,21.66197587,34.62159727,41.07010453,42.57266933,36.56241013,37.68933373,41.07010453,44.57608907,41.320532,42.6352762,48.52032167,45.70301267,41.01332011,43.22440682,46.45241686,45.56952782,42.57097687,44.02801923,44.99938081,43.41563911,43.16224044,43.09889077,43.33117288,40.71271994,50.60582642,54.05838333,52.64586748,55.06952347,57.22056791,57.34791929,65.4267726,71.32473349,65.56208344,77.81368438,78.8404549,79.13296262,82.13166423,89.16055449,92.04839431,88.93547573,93.76369684
INTL.4006-8-DZA-MMTCD.A,Algeria,Petroleum and other liquids (MMtonnes CO2),16.62676,17,20,19,21,22,20,20,21,22,24,25,26,25,25,25,24,23,25,24,25,26,28,28,30,31,31,33.51901482,0,41,42.9051,45.654043,49.303305,52.176213,53.048467,59.268298,57.660778,55.136495,56.5947672,57.8668962,52.09572443,56.00381014
INTL.4008-8-ASM-MMTCD.A,American Samoa,CO2 emissions (MMtonnes CO2),0.425070708,0.499607404,0.696422442,0.439048931,0.500976192,0.469328168,0.484467786,0.503031549,0.488869517,0.548365307,0.577441663,0.577441663,0.594548215,0.578368968,0.562878486,0.547388003,0.548879294,0.562878486,0.562878486,0.562878562,0.550420816,0.550420816,0.559929816,0.559929816,0.559929816,0.59155027,0.601936254,0.601936254,0.603585394,0.601936254,0.601936254,0.35542766,0.356401475,0.35542766,0.35542766,0.35542766,0.355427692,0.35542766,0.35542766,0.35542766,0.337656445,0.39097062
INTL.4002-8-ASM-MMTCD.A,American Samoa,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4010-8-ASM-MMTCD.A,American Samoa,Consumed natural gas (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4006-8-ASM-MMTCD.A,American Samoa,Petroleum and other liquids (MMtonnes CO2),0.425070708,0.499607404,0.696422442,0.439048931,0.500976192,0.469328168,0.484467786,0.503031549,0.488869517,0.548365307,0.577441663,0.577441663,0.594548215,0.578368968,0.562878486,0.547388003,0.548879294,0.562878486,0.562878486,0.562878562,0.550420816,0.550420816,0.559929816,0.559929816,0.559929816,0.59155027,0.601936254,0.601936254,0.603585394,0.601936254,0.601936254,0.35542766,0.356401475,0.35542766,0.35542766,0.35542766,0.355427692,0.35542766,0.35542766,0.35542766,0.337656445,0.39097062
INTL.4008-8-AGO-MMTCD.A,Angola,CO2 emissions (MMtonnes CO2),3.390313036,3.388842904,3.5555033,3.86660396,3.36660396,4.32215429,4.57770462,4.68880528,4.89990594,4.73325495,4.855407096,5.0110066,5.218203145,5.098585546,4.919904059,5.298585546,5.098585546,5.718203145,4.837820744,5.698585546,5.418203145,7.339732749,7.81629114,8.275143938,8.571319928,8.475143938,9.433996735,10.42826072,10.83399674,12.35361433,16.43470477,17.29977445,18.37975953,20.11390904,21.74356254,22.91092341,21.7829707,19.15066914,18.23030484,20.21123844,19.47169769,17.85911412
INTL.4002-8-AGO-MMTCD.A,Angola,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
