API,COUNTRY,CONSUMPTION,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.44-2-WORL-QBTU.A,World,Consumption (quad Btu),292.9399154,289.4609535,289.7485842,293.7431687,307.2929354,315.4802469,322.2305593,332.7649736,345.5716592,351.3925245,353.4215503,353.7203096,352.6317397,355.4771062,359.2764751,369.1422146,378.9840143,380.1443715,382.4116576,389.5697098,402.1418447,405.0395556,413.7818692,428.1216645,450.3230792,464.9320632,479.7023466,493.0690164,499.9211143,494.7263289,527.2816249,541.4184267,551.830755,561.6850806,566.6358431,566.1819615,573.6528658,584.6736451,598.520535,600.8985988,576.6050035,603.3208069
INTL.4411-2-WORL-QBTU.A,World,Coal (quad Btu),78.694561,79.01834095,80.46858503,82.62964088,86.39908266,89.44698833,90.46045102,94.05338421,96.87058043,96.93032163,95.93307022,92.81203594,90.30399994,90.3489779,90.76083909,93.36803138,95.4457699,93.94837524,93.42024788,93.81997238,98.69500108,99.76539616,102.252075,110.6874749,120.238508,128.3231266,135.4697893,142.1177277,144.6444644,145.7836347,157.7227779,166.2003911,171.3642941,173.359051,172.3599682,167.5442803,163.2340023,164.109245,165.8073305,164.1914312,158.7569774,166.7204671
INTL.4413-2-WORL-QBTU.A,World,Natural gas (quad Btu),53.8652233,53.89542347,54.05525545,55.14977267,60.84289642,63.37166179,64.22439064,67.56196998,71.01004825,74.22972627,75.12321919,76.72989846,77.11050759,79.11024177,79.00091895,81.32442025,83.19845675,83.69926883,84.37331275,86.51886533,89.60485068,89.931355,94.06020268,96.78718448,99.79480965,102.6069057,106.3121229,109.7209404,112.8727651,109.1493137,119.4238793,122.9924861,125.8026476,127.6546762,128.1451247,130.051693,132.6992292,136.809721,143.7696448,146.1382363,143.2917776,150.3500474
INTL.4415-2-WORL-QBTU.A,World,Petroleum and other liquids (quad Btu),132.0640194,126.8111321,123.9242829,122.215335,123.4170924,123.4715975,127.0064112,129.2657707,133.4458139,135.0368005,136.1368354,136.4451265,137.345319,136.1634321,138.8760179,141.6401312,146.0677355,148.1445006,149.88136,153.0728197,156.6711259,157.8522146,159.3488643,162.7653067,169.5638124,171.6428165,173.9898762,176.9928082,176.0629204,172.6682467,178.988283,180.2469901,182.3368144,184.6370864,187.2643355,188.4895471,194.2180247,196.8022956,198.201126,197.2301342,178.9634534,186.7141525
INTL.4419-2-WORL-QBTU.A,World,"Nuclear, renewables, and other (quad Btu)",28.27974342,29.64564911,31.24122479,33.67875675,36.55333202,39.11620367,40.49400338,41.7866052,44.16776127,45.19932404,46.27920505,47.73011046,47.83414159,49.83010601,50.53680885,52.73203815,54.19625096,54.29614405,54.69916544,56.12385972,57.1306087,57.53519426,58.16638054,58.05080969,60.85444391,62.58647191,64.30533524,64.73514816,67.04863991,68.01035489,72.18792956,73.04659467,73.36836626,77.15671104,80.02641598,81.25887328,84.77612103,88.26855226,92.07920078,94.68970421,96.76190038,100.8728926
INTL.4417-2-WORL-QBTU.A,World,Nuclear (quad Btu),7.575700462,8.527153469,9.5135649,10.72626905,13.00480146,15.30821564,16.25921413,17.65747315,19.2397345,19.75198871,20.37034901,21.20039175,21.29330511,22.02193383,22.41961504,23.271642,24.12233346,23.89427331,24.32190893,25.09494868,25.66540234,26.39672753,26.68704958,26.3103814,27.26426677,27.3203765,27.68576507,27.17861208,27.04552306,26.65832585,27.37128348,26.24976587,24.49650856,24.65478907,25.24871323,25.51534762,25.91907548,26.23702664,26.78408119,27.77312446,26.96838052,28.03087862
INTL.4418-2-WORL-QBTU.A,World,Renewables and other (quad Btu),20.70404295,21.11849564,21.72765989,22.9524877,23.54853056,23.80798803,24.23478925,24.12913205,24.92802677,25.44733533,25.90885604,26.52971871,26.54083647,27.80817218,28.11719381,29.46039615,30.0739175,30.40187074,30.37725651,31.02891104,31.46520636,31.13846674,31.47933096,31.74042829,33.59017714,35.26609541,36.61957017,37.55653608,40.00311685,41.35202904,44.81664608,46.7968288,48.87185769,52.50192197,54.77770275,55.74352566,58.85704555,62.03152563,65.29511959,66.91657975,69.79351986,72.84201401
INTL.44-2-AFG-QBTU.A,Afghanistan,Consumption (quad Btu),0.026583217,0.029949458,0.031897815,0.039021803,0.03920224,0.038274961,0.039111199,0.063065158,0.111220787,0.109364539,0.108320341,0.047438198,0.031281766,0.031068733,0.030081109,0.025348473,0.024860219,0.023673388,0.023039555,0.023027437,0.020178062,0.01591449,0.015109509,0.01776928,0.016413669,0.020995961,0.026428278,0.031313292,0.054810386,0.091110983,0.113779003,0.143327448,0.137650271,0.11416577,0.096961201,0.111725826,0.101967815,0.100861238,0.115698197,0.103436586,0.09346919,0.092588907
INTL.4411-2-AFG-QBTU.A,Afghanistan,Coal (quad Btu),0.002479248,0.002604252,0.003020933,0.003020933,0.003083435,0.003145937,0.003333443,0.003479281,0.002875095,0.00264592,0.002187572,0.001958398,0.000166672,0.000145838,0.000125004,0.00010417,6.25E-05,4.17E-05,4.17E-05,2.08E-05,2.08E-05,0.000541685,0.000437514,0.000729191,0.000708357,0.000687523,0.000729191,0.002121249,0.003513308,0.006179198,0.010345138,0.013110956,0.015876774,0.017724885,0.014260951,0.013874091,0.019768281,0.021566236,0.023364191,0.025162146,0.020746989,0.017505365
INTL.4413-2-AFG-QBTU.A,Afghanistan,Natural gas (quad Btu),0.002094,0.003141,0.005235,0.005235,0.005235,0,0,0.023034,0.07329,0.071196,0.070150672,0.011517,0.011092442,0.011092442,0.01108773,0.00739182,0.008504205,0.008504205,0.008504205,0.008504205,0.008504205,0.00184874,0.00184874,0.000739496,0.000739496,0.000739496,0.000739496,0.001478992,0.00184874,0.001109244,0.00524668,0.005967683,0.005927011,0.005712559,0.00524668,0.005405671,0.006111883,0.006111883,0.005998338,0.005039074,0.003140122,0.003140122
