일시,합계 생산(1000 toe),무연탄 생산(1000 toe),천연가스 생산(1000 toe),수력 생산(1000 toe),원자력 생산(1000 toe),신재생 및 기타 생산(1000 toe),합계 소비(1000 toe),석탄 소비(1000 toe),석유 소비(1000 toe),액화천연가스 소비(1000 toe),도시가스 소비(1000 toe),전력 소비(1000 toe),열 소비(1000 toe),신재생 및 기타 소비(%),이산화탄소(CO2)
1999-01-01,2303.0,162.0,0.0,78.0,1928.0,137.0,13466.0,1522.0,8751.0,0.0,1427.0,1450.0,180.0,137.0,373.1
1999-02-01,2216.0,137.0,0.0,94.0,1854.0,132.0,12179.0,1313.0,7800.0,0.0,1404.0,1379.0,152.0,132.0,374.0
1999-03-01,2444.0,174.0,0.0,112.0,2012.0,146.0,13219.0,1566.0,8723.0,0.0,1206.0,1447.0,130.0,146.0,374.9
1999-04-01,2342.0,163.0,0.0,137.0,1889.0,152.0,11957.0,1526.0,7748.0,0.0,978.0,1477.0,76.0,152.0,375.1
1999-05-01,2601.0,151.0,0.0,131.0,2163.0,156.0,10270.0,1544.0,6437.0,0.0,626.0,1463.0,45.0,156.0,374.0
1999-06-01,2504.0,164.0,0.0,130.0,2068.0,142.0,10121.0,1512.0,6424.0,0.0,498.0,1522.0,22.0,142.0,370.8
1999-07-01,2523.0,156.0,0.0,90.0,2126.0,152.0,11144.0,1557.0,7418.0,0.0,420.0,1582.0,15.0,152.0,366.6
1999-08-01,2852.0,149.0,0.0,209.0,2351.0,142.0,11059.0,1527.0,7334.0,0.0,406.0,1635.0,15.0,142.0,363.8
1999-09-01,2743.0,140.0,0.0,179.0,2287.0,137.0,11172.0,1493.0,7445.0,0.0,430.0,1644.0,22.0,137.0,365.3
1999-10-01,2847.0,161.0,0.0,152.0,2363.0,172.0,11851.0,1591.0,7790.0,0.0,640.0,1583.0,74.0,172.0,370.0
1999-11-01,2778.0,168.0,0.0,94.0,2351.0,166.0,12532.0,1555.0,8075.0,0.0,1022.0,1597.0,118.0,166.0,372.8
1999-12-01,2826.0,163.0,0.0,114.0,2376.0,173.0,14059.0,1619.0,8984.0,0.0,1456.0,1643.0,185.0,173.0,373.8
2000-01-01,2787.0,156.0,0.0,114.0,2356.0,161.0,14124.0,1526.0,8784.0,0.0,1762.0,1689.0,203.0,161.0,375.3
2000-02-01,2567.0,143.0,0.0,108.0,2161.0,155.0,13547.0,1365.0,8410.0,0.0,1817.0,1629.0,171.0,155.0,376.3
2000-03-01,2669.0,175.0,0.0,78.0,2245.0,172.0,13777.0,1658.0,8561.0,0.0,1536.0,1704.0,146.0,172.0,377.1
2000-04-01,2493.0,156.0,0.0,77.0,2082.0,180.0,12153.0,1565.0,7548.0,0.0,1133.0,1642.0,85.0,180.0,377.6
2000-05-01,2620.0,158.0,0.0,87.0,2191.0,184.0,12121.0,1706.0,7717.0,0.0,819.0,1646.0,50.0,184.0,375.8
2000-06-01,2550.0,168.0,0.0,119.0,2095.0,168.0,11083.0,1622.0,7001.0,0.0,574.0,1693.0,25.0,168.0,372.1
2000-07-01,2778.0,151.0,0.0,126.0,2323.0,179.0,10952.0,1705.0,6786.0,0.0,486.0,1779.0,17.0,179.0,368.1
2000-08-01,2938.0,154.0,0.0,172.0,2445.0,168.0,11579.0,1657.0,7415.0,0.0,473.0,1848.0,17.0,168.0,365.7
2000-09-01,2914.0,141.0,0.0,221.0,2390.0,162.0,11442.0,1520.0,7454.0,0.0,537.0,1742.0,28.0,162.0,367.5
2000-10-01,2697.0,154.0,0.0,111.0,2229.0,203.0,11823.0,1755.0,7377.0,0.0,716.0,1689.0,83.0,203.0,372.0
2000-11-01,2668.0,165.0,0.0,103.0,2205.0,195.0,13118.0,1888.0,8019.0,0.0,1132.0,1752.0,133.0,195.0,375.2
2000-12-01,2959.0,148.0,0.0,87.0,2521.0,203.0,14240.0,1696.0,8768.0,0.0,1577.0,1788.0,208.0,203.0,376.7
