COUNTRY,Composite_Indicators,Year,Value
Australia,Generation (billion kWh),1980,87.393
Australia,Nuclear (billion kWh),1980,0.0
Australia,Fossil fuels (billion kWh),1980,74.538
Australia,Renewables (billion kWh),1980,13.214
Australia,Hydroelectricity (billion kWh),1980,12.814
Australia,Non-hydroelectric renewables (billion kWh),1980,0.4
Australia,Geothermal (billion kWh),1980,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1980,0.0
Australia,Tide and wave (billion kWh),1980,0.0
Australia,Solar (billion kWh),1980,0.0
Australia,Wind (billion kWh),1980,0.0
Australia,Biomass and waste (billion kWh),1980,0.4
Australia,Hydroelectric pumped storage (billion kWh),1980,-0.359
Australia,Consumption (quad Btu),1980,2.98543583
Australia,Coal (quad Btu),1980,1.287101904
Australia,Natural gas (quad Btu),1980,0.339066
Australia,Petroleum and other liquids (quad Btu),1980,1.225279062
Australia,"Nuclear, renewables, and other (quad Btu)",1980,0.133988864
Australia,Nuclear (quad Btu),1980,0.0
Australia,Renewables and other (quad Btu),1980,0.133988864
Australia,CO2 emissions (MMtonnes CO2),1980,221.3144658
Australia,Coal and coke (MMtonnes CO2),1980,126.7167978
Australia,Consumed natural gas (MMtonnes CO2),1980,17.98971174
Australia,Petroleum and other liquids (MMtonnes CO2),1980,76.60795631
Australia,Population,1980,14723540.0
Australia,GDP,1980,373.1925
Australia,Generation (billion kWh),1981,92.911
Australia,Nuclear (billion kWh),1981,0.0
Australia,Fossil fuels (billion kWh),1981,78.934
Australia,Renewables (billion kWh),1981,14.335
Australia,Hydroelectricity (billion kWh),1981,13.935
Australia,Non-hydroelectric renewables (billion kWh),1981,0.4
Australia,Geothermal (billion kWh),1981,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1981,0.0
Australia,Tide and wave (billion kWh),1981,0.0
Australia,Solar (billion kWh),1981,0.0
Australia,Wind (billion kWh),1981,0.0
Australia,Biomass and waste (billion kWh),1981,0.4
Australia,Hydroelectric pumped storage (billion kWh),1981,-0.358
Australia,Consumption (quad Btu),1981,3.049885599
Australia,Coal (quad Btu),1981,1.317761034
Australia,Natural gas (quad Btu),1981,0.387504
Australia,Petroleum and other liquids (quad Btu),1981,1.195341055
Australia,"Nuclear, renewables, and other (quad Btu)",1981,0.14927951
Australia,Nuclear (quad Btu),1981,0.0
Australia,Renewables and other (quad Btu),1981,0.14927951
Australia,CO2 emissions (MMtonnes CO2),1981,223.0538519
Australia,Coal and coke (MMtonnes CO2),1981,129.7231767
Australia,Consumed natural gas (MMtonnes CO2),1981,20.55967056
Australia,Petroleum and other liquids (MMtonnes CO2),1981,72.77100461
Australia,Population,1981,14957060.0
Australia,GDP,1981,388.6091
Australia,Generation (billion kWh),1982,96.736
Australia,Nuclear (billion kWh),1982,0.0
Australia,Fossil fuels (billion kWh),1982,83.193
Australia,Renewables (billion kWh),1982,13.961
Australia,Hydroelectricity (billion kWh),1982,13.461
Australia,Non-hydroelectric renewables (billion kWh),1982,0.5
Australia,Geothermal (billion kWh),1982,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1982,0.0
Australia,Tide and wave (billion kWh),1982,0.0
Australia,Solar (billion kWh),1982,0.0
Australia,Wind (billion kWh),1982,0.0
Australia,Biomass and waste (billion kWh),1982,0.5
Australia,Hydroelectric pumped storage (billion kWh),1982,-0.418
Australia,Consumption (quad Btu),1982,3.231536108
Australia,Coal (quad Btu),1982,1.394638904
Australia,Natural gas (quad Btu),1982,0.428571
Australia,Petroleum and other liquids (quad Btu),1982,1.26261968
Australia,"Nuclear, renewables, and other (quad Btu)",1982,0.145706523
Australia,Nuclear (quad Btu),1982,0.0
Australia,Renewables and other (quad Btu),1982,0.145706523
Australia,CO2 emissions (MMtonnes CO2),1982,230.1297145
Australia,Coal and coke (MMtonnes CO2),1982,133.8631747
Australia,Consumed natural gas (MMtonnes CO2),1982,22.73854869
Australia,Petroleum and other liquids (MMtonnes CO2),1982,73.52799111
Australia,Population,1982,15210170.0
Australia,GDP,1982,389.3487
Australia,Generation (billion kWh),1983,98.048
Australia,Nuclear (billion kWh),1983,0.0
Australia,Fossil fuels (billion kWh),1983,85.971
Australia,Renewables (billion kWh),1983,12.411
Australia,Hydroelectricity (billion kWh),1983,12.011
Australia,Non-hydroelectric renewables (billion kWh),1983,0.4
Australia,Geothermal (billion kWh),1983,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1983,0.0
Australia,Tide and wave (billion kWh),1983,0.0
Australia,Solar (billion kWh),1983,0.0
Australia,Wind (billion kWh),1983,0.0
Australia,Biomass and waste (billion kWh),1983,0.4
Australia,Hydroelectric pumped storage (billion kWh),1983,-0.334
Australia,Consumption (quad Btu),1983,3.106748752
Australia,Coal (quad Btu),1983,1.325104889
Australia,Natural gas (quad Btu),1983,0.434889
Australia,Petroleum and other liquids (quad Btu),1983,1.21632527
Australia,"Nuclear, renewables, and other (quad Btu)",1983,0.130429593
Australia,Nuclear (quad Btu),1983,0.0
Australia,Renewables and other (quad Btu),1983,0.130429593
Australia,CO2 emissions (MMtonnes CO2),1983,219.6852274
Australia,Coal and coke (MMtonnes CO2),1983,125.3794831
Australia,Consumed natural gas (MMtonnes CO2),1983,23.07376071
Australia,Petroleum and other liquids (MMtonnes CO2),1983,71.23198363
Australia,Population,1983,15416260.0
Australia,GDP,1983,386.8448
Australia,Generation (billion kWh),1984,103.716
Australia,Nuclear (billion kWh),1984,0.0
Australia,Fossil fuels (billion kWh),1984,91.686
Australia,Renewables (billion kWh),1984,12.375
Australia,Hydroelectricity (billion kWh),1984,11.975
Australia,Non-hydroelectric renewables (billion kWh),1984,0.4
Australia,Geothermal (billion kWh),1984,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1984,0.0
Australia,Tide and wave (billion kWh),1984,0.0
Australia,Solar (billion kWh),1984,0.0
Australia,Wind (billion kWh),1984,0.0
Australia,Biomass and waste (billion kWh),1984,0.4
Australia,Hydroelectric pumped storage (billion kWh),1984,-0.345
Australia,Consumption (quad Btu),1984,3.149405326
Australia,Coal (quad Btu),1984,1.267020237
Australia,Natural gas (quad Btu),1984,0.46376
Australia,Petroleum and other liquids (quad Btu),1984,1.289833149
Australia,"Nuclear, renewables, and other (quad Btu)",1984,0.128791941
Australia,Nuclear (quad Btu),1984,0.0
Australia,Renewables and other (quad Btu),1984,0.128791941
Australia,CO2 emissions (MMtonnes CO2),1984,227.9947823
Australia,Coal and coke (MMtonnes CO2),1984,120.1325596
Australia,Consumed natural gas (MMtonnes CO2),1984,24.60555973
Australia,Petroleum and other liquids (MMtonnes CO2),1984,83.256663
Australia,Population,1984,15605430.0
Australia,GDP,1984,412.8027
Australia,Generation (billion kWh),1985,110.425
Australia,Nuclear (billion kWh),1985,0.0
Australia,Fossil fuels (billion kWh),1985,97.054
Australia,Renewables (billion kWh),1985,13.929
Australia,Hydroelectricity (billion kWh),1985,13.529
Australia,Non-hydroelectric renewables (billion kWh),1985,0.4
Australia,Geothermal (billion kWh),1985,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1985,0.0
Australia,Tide and wave (billion kWh),1985,0.0
Australia,Solar (billion kWh),1985,0.0
Australia,Wind (billion kWh),1985,0.0
Australia,Biomass and waste (billion kWh),1985,0.4
Australia,Hydroelectric pumped storage (billion kWh),1985,-0.558
Australia,Consumption (quad Btu),1985,3.289445776
Australia,Coal (quad Btu),1985,1.362507004
Australia,Natural gas (quad Btu),1985,0.495873
Australia,Petroleum and other liquids (quad Btu),1985,1.285845086
Australia,"Nuclear, renewables, and other (quad Btu)",1985,0.145220687
Australia,Nuclear (quad Btu),1985,0.0
Australia,Renewables and other (quad Btu),1985,0.145220687
Australia,CO2 emissions (MMtonnes CO2),1985,240.5812724
Australia,Coal and coke (MMtonnes CO2),1985,129.2810429
Australia,Consumed natural gas (MMtonnes CO2),1985,26.30936847
Australia,Petroleum and other liquids (MMtonnes CO2),1985,84.990861
Australia,Population,1985,15816840.0
Australia,GDP,1985,433.4622
Australia,Generation (billion kWh),1986,116.272
Australia,Nuclear (billion kWh),1986,0.0
Australia,Fossil fuels (billion kWh),1986,101.933
Australia,Renewables (billion kWh),1986,14.772
Australia,Hydroelectricity (billion kWh),1986,14.372
Australia,Non-hydroelectric renewables (billion kWh),1986,0.4
Australia,Geothermal (billion kWh),1986,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1986,0.0
Australia,Tide and wave (billion kWh),1986,0.0
Australia,Solar (billion kWh),1986,0.0
Australia,Wind (billion kWh),1986,0.0
Australia,Biomass and waste (billion kWh),1986,0.4
Australia,Hydroelectric pumped storage (billion kWh),1986,-0.433
Australia,Consumption (quad Btu),1986,3.339457591
Australia,Coal (quad Btu),1986,1.354289254
