,COUNTRY,EMISSIONS,Year,Value
0,World,CO2 emissions (MMtonnes CO2),1980,18719.16226
1,World,Coal and coke (MMtonnes CO2),1980,7491.61815
2,World,Consumed natural gas (MMtonnes CO2),1980,2842.337165
3,World,Petroleum and other liquids (MMtonnes CO2),1980,8385.206946
4,Afghanistan,CO2 emissions (MMtonnes CO2),1980,1.325964518
5,Afghanistan,Coal and coke (MMtonnes CO2),1980,0.231313858
6,Afghanistan,Consumed natural gas (MMtonnes CO2),1980,0.11110066
7,Afghanistan,Petroleum and other liquids (MMtonnes CO2),1980,0.98355
8,Albania,CO2 emissions (MMtonnes CO2),1980,9.618526399
9,Albania,Coal and coke (MMtonnes CO2),1980,2.379753099
10,Albania,Consumed natural gas (MMtonnes CO2),1980,0.5555033
11,Albania,Petroleum and other liquids (MMtonnes CO2),1980,6.68327
12,Algeria,CO2 emissions (MMtonnes CO2),1980,45.6635909
13,Algeria,Coal and coke (MMtonnes CO2),1980,0.237672237
14,Algeria,Consumed natural gas (MMtonnes CO2),1980,28.79915867
15,Algeria,Petroleum and other liquids (MMtonnes CO2),1980,16.62676
16,American Samoa,CO2 emissions (MMtonnes CO2),1980,0.425070708
17,American Samoa,Coal and coke (MMtonnes CO2),1980,0
18,American Samoa,Consumed natural gas (MMtonnes CO2),1980,0
19,American Samoa,Petroleum and other liquids (MMtonnes CO2),1980,0.425070708
20,Angola,CO2 emissions (MMtonnes CO2),1980,3.390313036
21,Angola,Coal and coke (MMtonnes CO2),1980,0
22,Angola,Consumed natural gas (MMtonnes CO2),1980,0.511063036
23,Angola,Petroleum and other liquids (MMtonnes CO2),1980,2.87925
24,Antarctica,CO2 emissions (MMtonnes CO2),1980,0.14064
25,Antarctica,Coal and coke (MMtonnes CO2),1980,0
26,Antarctica,Consumed natural gas (MMtonnes CO2),1980,0
27,Antarctica,Petroleum and other liquids (MMtonnes CO2),1980,0.14064
28,Antigua and Barbuda,CO2 emissions (MMtonnes CO2),1980,0.40738
29,Antigua and Barbuda,Coal and coke (MMtonnes CO2),1980,0
30,Antigua and Barbuda,Consumed natural gas (MMtonnes CO2),1980,0
31,Antigua and Barbuda,Petroleum and other liquids (MMtonnes CO2),1980,0.40738
32,Argentina,CO2 emissions (MMtonnes CO2),1980,93.02991395
33,Argentina,Coal and coke (MMtonnes CO2),1980,3.39159969
34,Argentina,Consumed natural gas (MMtonnes CO2),1980,19.54257426
35,Argentina,Petroleum and other liquids (MMtonnes CO2),1980,70.09574
36,Armenia,CO2 emissions (MMtonnes CO2),1980,--
37,Armenia,Coal and coke (MMtonnes CO2),1980,--
38,Armenia,Consumed natural gas (MMtonnes CO2),1980,--
39,Armenia,Petroleum and other liquids (MMtonnes CO2),1980,--
40,Aruba,CO2 emissions (MMtonnes CO2),1980,--
41,Aruba,Coal and coke (MMtonnes CO2),1980,--
42,Aruba,Consumed natural gas (MMtonnes CO2),1980,--
43,Aruba,Petroleum and other liquids (MMtonnes CO2),1980,--
44,Australia,CO2 emissions (MMtonnes CO2),1980,221.3144658
45,Australia,Coal and coke (MMtonnes CO2),1980,126.7167978
46,Australia,Consumed natural gas (MMtonnes CO2),1980,17.98971174
47,Australia,Petroleum and other liquids (MMtonnes CO2),1980,76.60795631
48,Austria,CO2 emissions (MMtonnes CO2),1980,55.26293027
49,Austria,Coal and coke (MMtonnes CO2),1980,12.96813482
50,Austria,Consumed natural gas (MMtonnes CO2),1980,9.82906584
51,Austria,Petroleum and other liquids (MMtonnes CO2),1980,32.46572961
52,Azerbaijan,CO2 emissions (MMtonnes CO2),1980,--
53,Azerbaijan,Coal and coke (MMtonnes CO2),1980,--
54,Azerbaijan,Consumed natural gas (MMtonnes CO2),1980,--
55,Azerbaijan,Petroleum and other liquids (MMtonnes CO2),1980,--
56,Bahrain,CO2 emissions (MMtonnes CO2),1980,7.759153
57,Bahrain,Coal and coke (MMtonnes CO2),1980,0
58,Bahrain,Consumed natural gas (MMtonnes CO2),1980,5.555033
59,Bahrain,Petroleum and other liquids (MMtonnes CO2),1980,2.20412
60,Bangladesh,CO2 emissions (MMtonnes CO2),1980,7.109008877
61,Bangladesh,Coal and coke (MMtonnes CO2),1980,0.07920271
62,Bangladesh,Consumed natural gas (MMtonnes CO2),1980,2.496316167
63,Bangladesh,Petroleum and other liquids (MMtonnes CO2),1980,4.53349
64,Barbados,CO2 emissions (MMtonnes CO2),1980,0.970850132
65,Barbados,Coal and coke (MMtonnes CO2),1980,0
66,Barbados,Consumed natural gas (MMtonnes CO2),1980,0.022220132
67,Barbados,Petroleum and other liquids (MMtonnes CO2),1980,0.94863
