COUNTRY,Year,Biomass and waste (billion kWh),CO2 emissions (MMtonnes CO2),Coal (quad Btu),Coal and coke (MMtonnes CO2),Consumed natural gas (MMtonnes CO2),Consumption (quad Btu),Fossil fuels (billion kWh),GDP,Generation (billion kWh),Geothermal (billion kWh),Hydroelectric pumped storage (billion kWh),Hydroelectricity (billion kWh),Natural gas (quad Btu),Non-hydroelectric renewables (billion kWh),Nuclear (billion kWh),Nuclear (quad Btu),"Nuclear, renewables, and other (quad Btu)",Petroleum and other liquids (MMtonnes CO2),Petroleum and other liquids (quad Btu),Population,Renewables (billion kWh),Renewables and other (quad Btu),Solar (billion kWh),"Solar, tide, wave, fuel cell (billion kWh)",Tide and wave (billion kWh),Wind (billion kWh)
Australia,1980,0.4,221.3144658,1.287101904,126.7167978,17.98971174,2.98543583,74.538,373.1925,87.393,0,-0.359,12.814,0.339066,0.4,0,0,0.133988864,76.60795631,1.225279062,14723540,13.214,0.133988864,0,0,0,0
Australia,1981,0.4,223.0538519,1.317761034,129.7231767,20.55967056,3.049885599,78.934,388.6091,92.911,0,-0.358,13.935,0.387504,0.4,0,0,0.14927951,72.77100461,1.195341055,14957060,14.335,0.14927951,0,0,0,0
Australia,1982,0.5,230.1297145,1.394638904,133.8631747,22.73854869,3.231536108,83.193,389.3487,96.736,0,-0.418,13.461,0.428571,0.5,0,0,0.145706523,73.52799111,1.26261968,15210170,13.961,0.145706523,0,0,0,0
Australia,1983,0.4,219.6852274,1.325104889,125.3794831,23.07376071,3.106748752,85.971,386.8448,98.048,0,-0.334,12.011,0.434889,0.4,0,0,0.130429593,71.23198363,1.21632527,15416260,12.411,0.130429593,0,0,0,0
Australia,1984,0.4,227.9947823,1.267020237,120.1325596,24.60555973,3.149405326,91.686,412.8027,103.716,0,-0.345,11.975,0.46376,0.4,0,0,0.128791941,83.256663,1.289833149,15605430,12.375,0.128791941,0,0,0,0
Australia,1985,0.4,240.5812724,1.362507004,129.2810429,26.30936847,3.289445776,97.054,433.4622,110.425,0,-0.558,13.529,0.495873,0.4,0,0,0.145220687,84.990861,1.285845086,15816840,13.929,0.145220687,0,0,0,0
Australia,1986,0.4,241.4443824,1.354289254,127.9172217,28.71872476,3.339457591,101.933,442.469,116.272,0,-0.433,14.372,0.541284,0.4,0,0,0.148477395,84.808436,1.295406942,16048620,14.772,0.148477395,0,0,0,0
Australia,1987,0.4,259.3334548,1.488758228,140.7459758,29.43987097,3.510145689,108.543,464.6809,121.915,0,-0.491,13.463,0.554876,0.4,0,0,0.139897468,89.147608,1.326613993,16297280,13.863,0.139897468,0,0,0,0
Australia,1988,0.7,262.5330884,1.500840605,140.0202531,30.71264735,3.600307087,117.095,483.9072,130.92,0,-0.285,13.41,0.578865,0.7,0,0,0.123745244,91.800188,1.396856238,16568130,14.11,0.123745244,0,0,0,0
Australia,1989,0.8,280.5352537,1.639532935,153.1302988,31.5427189,3.820280517,124.164,506.3752,139.221,0,-0.054,14.311,0.59451,0.8,0,0,0.13529352,95.862236,1.450944062,16846020,15.111,0.13529352,0,0,0,0
Australia,1990,0.75,267.5944695,1.582635579,136.3772769,34.619475,3.845051046,131.785,514.0105,146.187,0,-0.354,14.006,0.6525,0.75,0,0,0.134455644,96.59771756,1.475459824,17092830,14.756,0.134455644,0,0,0,0
